Source,eType,Target,Time,Weight,SourceLocation,TargetLocation,SourceLatitude,SourceLongitude,TargetLatitude,TargetLongitude
563211,4,564798,1002961674,0.0188679,,,,,,
563211,4,627390,1239092874,0.2,,,,,,
563211,4,561114,1457944074,0.25,,,,,,
541017,4,601492,1671265674,0.14285699999999998,,,,,,
572413,1,629627,1736985600,1.0,4.0,4.0,-2.24962,-165.65099999999998,-1.16067,-162.983
572413,1,505965,1736992171,1.0,4.0,4.0,-2.24962,-165.65099999999998,-3.88606,-166.18599999999998
505965,0,629627,1736998263,1.0,,,,,,
572413,1,505965,1737005874,1.0,4.0,4.0,-2.24962,-165.65099999999998,-3.88606,-166.18599999999998
629627,1,515794,1737006215,1.0,4.0,4.0,-1.16067,-162.983,6.71518,-165.25099999999998
505965,0,515794,1737014661,1.0,,,,,,
572413,1,629627,1737026241,1.0,4.0,4.0,-2.24962,-165.65099999999998,-1.16067,-162.983
572413,1,515794,1737044721,1.0,4.0,4.0,-2.24962,-165.65099999999998,6.71518,-165.25099999999998
515794,1,505965,1737050396,1.0,4.0,4.0,6.71518,-165.25099999999998,-3.88606,-166.18599999999998
515794,1,505965,1737058119,1.0,4.0,4.0,6.71518,-165.25099999999998,-3.88606,-166.18599999999998
572413,1,505965,1737058310,1.0,4.0,4.0,-2.24962,-165.65099999999998,-3.88606,-166.18599999999998
505965,0,515794,1737062240,1.0,,,,,,
572413,1,515794,1737069970,1.0,4.0,4.0,-2.24962,-165.65099999999998,6.71518,-165.25099999999998
505965,0,515794,1737121112,1.0,,,,,,
629627,1,515794,1737155954,1.0,4.0,4.0,-1.16067,-162.983,6.71518,-165.25099999999998
572413,1,505965,1737165113,1.0,4.0,4.0,-2.24962,-165.65099999999998,-3.88606,-166.18599999999998
515794,1,505965,1737166990,1.0,4.0,4.0,6.71518,-165.25099999999998,-3.88606,-166.18599999999998
572413,1,629627,1737193050,1.0,4.0,4.0,-2.24962,-165.65099999999998,-1.16067,-162.983
515794,1,629627,1737207865,1.0,4.0,4.0,6.71518,-165.25099999999998,-1.16067,-162.983
515794,1,505965,1737221936,1.0,4.0,4.0,6.71518,-165.25099999999998,-3.88606,-166.18599999999998
505965,0,629627,1737228049,1.0,,,,,,
515794,0,629627,1737267955,1.0,,,,,,
515794,0,505965,1737279075,1.0,,,,,,
515794,1,629627,1737299297,1.0,4.0,4.0,6.71518,-165.25099999999998,-1.16067,-162.983
515794,0,505965,1737319974,1.0,,,,,,
515794,0,629627,1737326746,1.0,,,,,,
515794,0,629627,1737341336,1.0,,,,,,
572413,1,515794,1737359497,1.0,4.0,4.0,-2.24962,-165.65099999999998,6.71518,-165.25099999999998
515794,0,629627,1737369056,1.0,,,,,,
572413,1,505965,1737381711,1.0,4.0,4.0,-2.24962,-165.65099999999998,-3.88606,-166.18599999999998
505965,0,515794,1737382398,1.0,,,,,,
572413,1,629627,1737384881,1.0,4.0,4.0,-2.24962,-165.65099999999998,-1.16067,-162.983
505965,0,515794,1737409761,1.0,,,,,,
572413,1,515794,1737421991,1.0,4.0,4.0,-2.24962,-165.65099999999998,6.71518,-165.25099999999998
515794,0,505965,1737422186,1.0,,,,,,
515794,1,629627,1737423339,1.0,4.0,4.0,6.71518,-165.25099999999998,-1.16067,-162.983
572413,1,505965,1737425951,1.0,4.0,4.0,-2.24962,-165.65099999999998,-3.88606,-166.18599999999998
505965,0,629627,1737448290,1.0,,,,,,
629627,1,505965,1737469537,1.0,4.0,4.0,-1.16067,-162.983,-3.88606,-166.18599999999998
515794,0,505965,1737481402,1.0,,,,,,
505965,0,629627,1737487236,1.0,,,,,,
629627,1,515794,1737493743,1.0,4.0,4.0,-1.16067,-162.983,6.71518,-165.25099999999998
515794,1,629627,1737499612,1.0,4.0,4.0,6.71518,-165.25099999999998,-1.16067,-162.983
505965,0,629627,1737506671,1.0,,,,,,
572413,1,629627,1737510754,1.0,4.0,4.0,-2.24962,-165.65099999999998,-1.16067,-162.983
572413,1,629627,1737520063,1.0,4.0,4.0,-2.24962,-165.65099999999998,-1.16067,-162.983
572413,1,505965,1737533674,1.0,4.0,4.0,-2.24962,-165.65099999999998,-3.88606,-166.18599999999998
572413,1,505965,1737562799,1.0,4.0,4.0,-2.24962,-165.65099999999998,-3.88606,-166.18599999999998
541017,0,563211,1737671942,1.0,,,,,,
585212,1,563211,1737902847,1.0,4.0,1.0,5.62833,-161.113,-27.3353,-18.2227
541017,1,629627,1738071235,1.0,1.0,4.0,-29.4524,-13.6491,-1.16067,-162.983
585212,1,541017,1738146818,1.0,4.0,1.0,5.62833,-161.113,-29.4524,-13.6491
585212,1,599441,1738196687,1.0,4.0,4.0,5.62833,-161.113,2.74785,-162.275
541017,1,563211,1738274950,1.0,1.0,1.0,-29.4524,-13.6491,-27.3353,-18.2227
599441,0,527597,1738435826,1.0,,,,,,
582851,1,541017,1738565191,1.0,1.0,1.0,-26.6688,-7.319489999999999,-29.4524,-13.6491
629627,0,585212,1738640341,1.0,,,,,,
599441,0,534034,1738713137,1.0,,,,,,
527597,0,563211,1738739836,1.0,,,,,,
582851,1,527597,1738799967,1.0,1.0,1.0,-26.6688,-7.319489999999999,-27.555,-13.373
599441,0,629627,1738843253,1.0,,,,,,
582851,1,585212,1738915313,1.0,1.0,4.0,-26.6688,-7.319489999999999,5.62833,-161.113
629627,0,582851,1739098795,1.0,,,,,,
582851,1,563211,1739111876,1.0,1.0,1.0,-26.6688,-7.319489999999999,-27.3353,-18.2227
541017,1,563211,1739192462,1.0,1.0,1.0,-29.4524,-13.6491,-27.3353,-18.2227
629627,0,599441,1739270612,1.0,,,,,,
563211,0,585212,1739867130,1.0,,,,,,
534034,0,629627,1739977360,1.0,,,,,,
541017,0,527597,1740113830,1.0,,,,,,
629627,0,585212,1740130324,1.0,,,,,,
629627,0,527597,1740245168,1.0,,,,,,
527597,0,534034,1740441611,1.0,,,,,,
629627,0,599441,1740509251,1.0,,,,,,
644830,0,585212,1740630101,1.0,,,,,,
527597,1,585212,1740644555,1.0,1.0,4.0,-27.555,-13.373,5.62833,-161.113
644830,0,488928,1740681732,1.0,,,,,,
527597,1,585212,1740695011,1.0,1.0,4.0,-27.555,-13.373,5.62833,-161.113
527597,0,599441,1740722173,1.0,,,,,,
534034,0,629627,1740839602,1.0,,,,,,
541017,0,599441,1740868613,1.0,,,,,,
527597,0,629627,1740944524,1.0,,,,,,
541017,1,629627,1741083131,1.0,1.0,4.0,-29.4524,-13.6491,-1.16067,-162.983
527597,0,585212,1741262715,1.0,,,,,,
585212,0,644830,1741263177,1.0,,,,,,
488928,0,585212,1741409604,1.0,,,,,,
527597,1,534034,1741432527,1.0,1.0,4.0,-27.555,-13.373,0.486228,-168.472
599441,0,585212,1741504074,1.0,,,,,,
585212,0,644830,1741559857,1.0,,,,,,
585212,0,488928,1741566069,1.0,,,,,,
534034,0,585212,1741596027,1.0,,,,,,
644830,0,488928,1741622256,1.0,,,,,,
585212,1,629627,1741682530,1.0,4.0,4.0,5.62833,-161.113,-1.16067,-162.983
488928,0,585212,1741692558,1.0,,,,,,
527597,1,599441,1741700107,1.0,1.0,4.0,-27.555,-13.373,2.74785,-162.275
644830,0,585212,1741704712,1.0,,,,,,
585212,0,488928,1741916191,1.0,,,,,,
585212,0,488928,1741962025,1.0,,,,,,
582851,1,629627,1742031037,1.0,1.0,4.0,-26.6688,-7.319489999999999,-1.16067,-162.983
488928,0,585212,1742048606,1.0,,,,,,
527597,1,563211,1742074399,1.0,1.0,1.0,-27.555,-13.373,-27.3353,-18.2227
585212,1,629627,1742116320,1.0,4.0,4.0,5.62833,-161.113,-1.16067,-162.983
541017,0,585212,1742133024,1.0,,,,,,
629627,0,534034,1742287827,1.0,,,,,,
585212,1,563211,1742306256,1.0,4.0,1.0,5.62833,-161.113,-27.3353,-18.2227
488928,0,585212,1742392824,1.0,,,,,,
585212,0,644830,1742423254,1.0,,,,,,
527597,1,585212,1742441149,1.0,1.0,4.0,-27.555,-13.373,5.62833,-161.113
585212,1,599441,1742474132,1.0,4.0,4.0,5.62833,-161.113,2.74785,-162.275
644830,0,585212,1742510816,1.0,,,,,,
541017,0,585212,1742553801,1.0,,,,,,
599441,0,582851,1742567754,1.0,,,,,,
585212,0,488928,1742631144,1.0,,,,,,
527597,1,582851,1742634350,1.0,1.0,1.0,-27.555,-13.373,-26.6688,-7.319489999999999
644830,0,488928,1742786378,1.0,,,,,,
585212,1,563211,1742787508,1.0,4.0,1.0,5.62833,-161.113,-27.3353,-18.2227
488928,0,585212,1742816883,1.0,,,,,,
582851,1,563211,1742881026,1.0,1.0,1.0,-26.6688,-7.319489999999999,-27.3353,-18.2227
644830,0,488928,1742932781,1.0,,,,,,
527597,1,582851,1742951050,1.0,1.0,1.0,-27.555,-13.373,-26.6688,-7.319489999999999
541017,0,527597,1743049354,1.0,,,,,,
527597,1,582851,1743078190,1.0,1.0,1.0,-27.555,-13.373,-26.6688,-7.319489999999999
585212,0,644830,1743179545,1.0,,,,,,
527597,1,585212,1743263687,1.0,1.0,4.0,-27.555,-13.373,5.62833,-161.113
541017,0,629627,1743382960,1.0,,,,,,
585212,0,488928,1743497731,1.0,,,,,,
541017,1,563211,1743507679,1.0,1.0,1.0,-29.4524,-13.6491,-27.3353,-18.2227
563211,0,527597,1743658621,1.0,,,,,,
599441,0,585212,1743732745,1.0,,,,,,
563211,0,534034,1743791882,1.0,,,,,,
644830,0,488928,1743816707,1.0,,,,,,
585212,1,534034,1743831614,1.0,4.0,4.0,5.62833,-161.113,0.486228,-168.472
541017,1,582851,1743857359,1.0,1.0,1.0,-29.4524,-13.6491,-26.6688,-7.319489999999999
629627,0,527597,1743858546,1.0,,,,,,
541017,0,527597,1743984285,1.0,,,,,,
629627,0,563211,1744046996,1.0,,,,,,
582851,1,563211,1744065783,1.0,1.0,1.0,-26.6688,-7.319489999999999,-27.3353,-18.2227
541017,0,629627,1744123584,1.0,,,,,,
585212,0,644830,1744131274,1.0,,,,,,
527597,1,582851,1744148032,1.0,1.0,1.0,-27.555,-13.373,-26.6688,-7.319489999999999
534034,0,527597,1744234018,1.0,,,,,,
541017,1,599441,1744305006,1.0,1.0,4.0,-29.4524,-13.6491,2.74785,-162.275
541017,0,585212,1744342788,1.0,,,,,,
563211,0,629627,1744400894,1.0,,,,,,
585212,1,534034,1744539937,1.0,4.0,4.0,5.62833,-161.113,0.486228,-168.472
585212,0,644830,1744545527,1.0,,,,,,
585212,1,629627,1744594692,1.0,4.0,4.0,5.62833,-161.113,-1.16067,-162.983
585212,0,644830,1744930493,1.0,,,,,,
644830,0,488928,1744975758,1.0,,,,,,
629627,0,582851,1745075939,1.0,,,,,,
527597,0,534034,1745087263,1.0,,,,,,
563211,0,527597,1745098776,1.0,,,,,,
527597,0,585212,1745193040,1.0,,,,,,
629627,0,599441,1745379406,1.0,,,,,,
599441,0,541017,1745552407,1.0,,,,,,
527597,0,541017,1745568945,1.0,,,,,,
541017,1,582851,1745611058,1.0,1.0,1.0,-29.4524,-13.6491,-26.6688,-7.319489999999999
629627,0,534034,1745649877,1.0,,,,,,
582851,1,541017,1745778893,1.0,1.0,1.0,-26.6688,-7.319489999999999,-29.4524,-13.6491
585212,0,644830,1745994571,1.0,,,,,,
582851,1,585212,1746022271,1.0,1.0,4.0,-26.6688,-7.319489999999999,5.62833,-161.113
644830,0,488928,1746052838,1.0,,,,,,
602912,0,534449,1746125741,1.0,,,,,,
515794,0,505965,1746138834,1.0,,,,,,
629627,1,534449,1746164709,1.0,4.0,2.0,-1.16067,-162.983,-24.0127,90.9734
477138,0,515794,1746180817,1.0,,,,,,
544615,0,629627,1746235216,1.0,,,,,,
515794,1,477138,1746253816,1.0,4.0,3.0,6.71518,-165.25099999999998,-24.7171,-111.47399999999999
527597,0,582851,1746264543,1.0,,,,,,
505965,1,639051,1746272412,1.0,4.0,3.0,-3.88606,-166.18599999999998,-25.421999999999997,-111.678
477138,0,544615,1746274113,1.0,,,,,,
534449,0,505965,1746281075,1.0,,,,,,
544615,0,639051,1746316191,1.0,,,,,,
572413,0,602912,1746333344,1.0,,,,,,
515794,0,534449,1746372253,1.0,,,,,,
602912,0,515794,1746397646,1.0,,,,,,
599441,0,534034,1746408847,1.0,,,,,,
602912,0,639051,1746428285,1.0,,,,,,
582851,1,527597,1746433857,1.0,1.0,1.0,-26.6688,-7.319489999999999,-27.555,-13.373
582851,1,541017,1746443888,1.0,1.0,1.0,-26.6688,-7.319489999999999,-29.4524,-13.6491
582851,1,585212,1746469078,1.0,1.0,4.0,-26.6688,-7.319489999999999,5.62833,-161.113
544615,0,477138,1746476813,1.0,,,,,,
572413,0,477138,1746478256,1.0,,,,,,
572413,0,629627,1746517122,1.0,,,,,,
644830,0,488928,1746546707,1.0,,,,,,
602912,0,477138,1746563651,1.0,,,,,,
541017,0,582851,1746590265,1.0,,,,,,
602912,1,544615,1746591082,1.0,1.0,2.0,-28.3801,-9.461839999999999,-20.6565,91.7841
602912,0,629627,1746616860,1.0,,,,,,
629627,1,477138,1746624079,1.0,4.0,3.0,-1.16067,-162.983,-24.7171,-111.47399999999999
515794,0,602912,1746642097,1.0,,,,,,
644830,0,488928,1746653449,1.0,,,,,,
629627,1,515794,1746654736,1.0,4.0,4.0,-1.16067,-162.983,6.71518,-165.25099999999998
644830,0,488928,1746666234,1.0,,,,,,
477138,0,629627,1746755471,1.0,,,,,,
541017,1,599441,1746764463,1.0,1.0,4.0,-29.4524,-13.6491,2.74785,-162.275
534034,0,582851,1746789826,1.0,,,,,,
505965,1,515794,1746900738,1.0,4.0,4.0,-3.88606,-166.18599999999998,6.71518,-165.25099999999998
477138,0,639051,1746949463,1.0,,,,,,
629627,0,563211,1746977222,1.0,,,,,,
527597,0,541017,1746983194,1.0,,,,,,
602912,1,534449,1747009104,1.0,1.0,2.0,-28.3801,-9.461839999999999,-24.0127,90.9734
505965,1,602912,1747034684,1.0,4.0,1.0,-3.88606,-166.18599999999998,-28.3801,-9.461839999999999
544615,0,639051,1747050679,1.0,,,,,,
505965,1,544615,1747065909,1.0,4.0,2.0,-3.88606,-166.18599999999998,-20.6565,91.7841
544615,0,639051,1747088487,1.0,,,,,,
477138,0,534449,1747147165,1.0,,,,,,
644830,0,585212,1747179505,1.0,,,,,,
602912,0,515794,1747210991,1.0,,,,,,
477138,0,544615,1747267535,1.0,,,,,,
602912,0,515794,1747284765,1.0,,,,,,
505965,1,534449,1747284870,1.0,4.0,2.0,-3.88606,-166.18599999999998,-24.0127,90.9734
602912,0,629627,1747308438,1.0,,,,,,
629627,1,639051,1747317819,1.0,4.0,3.0,-1.16067,-162.983,-25.421999999999997,-111.678
572413,0,639051,1747381416,1.0,,,,,,
515794,1,602912,1747389484,1.0,4.0,1.0,6.71518,-165.25099999999998,-28.3801,-9.461839999999999
602912,0,477138,1747400102,1.0,,,,,,
515794,1,544615,1747492796,1.0,4.0,2.0,6.71518,-165.25099999999998,-20.6565,91.7841
602912,0,534449,1747506924,1.0,,,,,,
629627,1,602912,1747652009,1.0,4.0,1.0,-1.16067,-162.983,-28.3801,-9.461839999999999
505965,1,534449,1747654414,1.0,4.0,2.0,-3.88606,-166.18599999999998,-24.0127,90.9734
505965,1,515794,1747660987,1.0,4.0,4.0,-3.88606,-166.18599999999998,6.71518,-165.25099999999998
629627,1,505965,1747674754,1.0,4.0,4.0,-1.16067,-162.983,-3.88606,-166.18599999999998
572413,0,505965,1747703963,1.0,,,,,,
572413,0,544615,1747751690,1.0,,,,,,
515794,1,505965,1747766159,1.0,4.0,4.0,6.71518,-165.25099999999998,-3.88606,-166.18599999999998
602912,0,639051,1747781339,1.0,,,,,,
572413,0,515794,1747831121,1.0,,,,,,
515794,0,602912,1747849702,1.0,,,,,,
505965,1,602912,1747863031,1.0,4.0,1.0,-3.88606,-166.18599999999998,-28.3801,-9.461839999999999
602912,0,629627,1747917991,1.0,,,,,,
477138,0,505965,1747959367,1.0,,,,,,
515794,1,505965,1747979430,1.0,4.0,4.0,6.71518,-165.25099999999998,-3.88606,-166.18599999999998
629627,0,505965,1748028285,1.0,,,,,,
477138,0,515794,1748095520,1.0,,,,,,
629627,1,544615,1748097893,1.0,4.0,2.0,-1.16067,-162.983,-20.6565,91.7841
572413,0,602912,1748099659,1.0,,,,,,
572413,0,505965,1748104009,1.0,,,,,,
629627,1,544615,1748130013,1.0,4.0,2.0,-1.16067,-162.983,-20.6565,91.7841
534449,0,629627,1748145353,1.0,,,,,,
544615,0,534449,1748173954,1.0,,,,,,
505965,1,602912,1748213501,1.0,4.0,1.0,-3.88606,-166.18599999999998,-28.3801,-9.461839999999999
505965,1,629627,1748229715,1.0,4.0,4.0,-3.88606,-166.18599999999998,-1.16067,-162.983
505965,1,477138,1748239659,1.0,4.0,3.0,-3.88606,-166.18599999999998,-24.7171,-111.47399999999999
544615,0,602912,1748254887,1.0,,,,,,
585212,0,644830,1748262272,1.0,,,,,,
515794,0,629627,1748287753,1.0,,,,,,
572413,0,515794,1748292202,1.0,,,,,,
515794,0,544615,1748313193,1.0,,,,,,
515794,0,629627,1748343158,1.0,,,,,,
572413,0,602912,1748384419,1.0,,,,,,
515794,0,602912,1748402262,1.0,,,,,,
544615,0,639051,1748446523,1.0,,,,,,
572413,0,544615,1748453257,1.0,,,,,,
602912,0,534449,1748517354,1.0,,,,,,
644830,2,487668,1748992189,958.0,,,,,,
585212,3,487668,1748992189,958.0,,,,,,
644830,2,487668,1750004533,213.0,,,,,,
585212,3,487668,1750004533,213.0,,,,,,
585212,0,644830,1750398692,1.0,,,,,,
585212,0,644830,1751480766,1.0,,,,,,
644830,2,487668,1751625604,276.0,,,,,,
585212,3,487668,1751625604,276.0,,,,,,
644830,2,487668,1751916637,245.0,,,,,,
585212,3,487668,1751916637,245.0,,,,,,
585212,0,644830,1751955873,1.0,,,,,,
644830,2,487668,1753453660,213.0,,,,,,
585212,3,487668,1753453660,213.0,,,,,,
644830,2,487668,1754114792,581.0,,,,,,
585212,3,487668,1754114792,581.0,,,,,,
585212,0,644830,1754351295,1.0,,,,,,
585212,0,644830,1754351980,1.0,,,,,,
644830,2,487668,1755860102,209.0,,,,,,
585212,3,487668,1755860102,209.0,,,,,,
477138,1,639051,1756532131,1.0,3.0,3.0,-24.7171,-111.47399999999999,-25.421999999999997,-111.678
477138,1,639051,1756596402,1.0,3.0,3.0,-24.7171,-111.47399999999999,-25.421999999999997,-111.678
639051,0,629627,1756805796,1.0,,,,,,
629627,0,477138,1756891225,1.0,,,,,,
477138,1,629627,1757023633,1.0,3.0,4.0,-24.7171,-111.47399999999999,-1.16067,-162.983
629627,0,477138,1757027633,1.0,,,,,,
639051,0,477138,1757234976,1.0,,,,,,
639051,0,602912,1757263312,1.0,,,,,,
639051,0,477138,1757275201,1.0,,,,,,
602912,1,629627,1757295775,1.0,1.0,4.0,-28.3801,-9.461839999999999,-1.16067,-162.983
629627,1,602912,1757308188,1.0,4.0,1.0,-1.16067,-162.983,-28.3801,-9.461839999999999
