Unnamed: 0,Source,eType,Target,Time,Weight,SourceLocation,TargetLocation,SourceLatitude,SourceLongitude,TargetLatitude,TargetLongitude
32090264,519424,1,604223,1761445589,1.0,4,3,0.44933900000000004,-165.89,-24.6075,-111.79700000000001
32090266,519424,0,638752,1750051925,1.0,-1,-1,,,,
32090267,519424,0,638752,1749316298,1.0,-1,-1,,,,
32090268,519424,1,638752,1750472751,1.0,4,5,0.44933900000000004,-165.89,22.6482,156.841
32090271,519424,1,604223,1750363414,1.0,4,3,0.44933900000000004,-165.89,-24.6075,-111.79700000000001
32090272,519424,0,615605,1750123939,1.0,-1,-1,,,,
32090277,519424,0,604223,1749987863,1.0,-1,-1,,,,
32090284,519424,0,604223,1749370353,1.0,-1,-1,,,,
32090291,519424,0,604223,1750361340,1.0,-1,-1,,,,
32090296,519424,0,551810,1761382604,1.0,-1,-1,,,,
32090298,519424,0,551810,1760102255,1.0,-1,-1,,,,
32090299,519424,0,636990,1750681867,1.0,-1,-1,,,,
32090301,519424,0,636990,1750928953,1.0,-1,-1,,,,
32090302,519424,0,551810,1758808658,1.0,-1,-1,,,,
32090304,519424,1,636990,1749434950,1.0,4,0,0.44933900000000004,-165.89,41.6555,-45.6054
32090311,519424,0,636990,1750403712,1.0,-1,-1,,,,
32090315,519424,0,615605,1750285182,1.0,-1,-1,,,,
32090317,519424,0,551810,1749932461,1.0,-1,-1,,,,
32090318,519424,0,551810,1759383185,1.0,-1,-1,,,,
32090327,519424,0,551810,1761793062,1.0,-1,-1,,,,
32090328,519424,0,551810,1760387914,1.0,-1,-1,,,,
32090375,519424,0,572500,1751296678,1.0,-1,-1,,,,
32090401,519424,0,572500,1749857042,1.0,-1,-1,,,,
32090402,519424,0,572500,1750323715,1.0,-1,-1,,,,
32090413,519424,0,546999,1750289884,1.0,-1,-1,,,,
32090462,519424,0,595104,1742002835,1.0,-1,-1,,,,
32090510,519424,1,546999,1759940465,1.0,4,3,0.44933900000000004,-165.89,-23.788,-110.90700000000001
32090519,519424,0,546999,1750580812,1.0,-1,-1,,,,
32090528,519424,0,546999,1761515367,1.0,-1,-1,,,,
32090541,519424,1,594766,1761175574,1.0,4,3,0.44933900000000004,-165.89,-25.679000000000002,-110.916
32090542,519424,1,594766,1761207446,1.0,4,3,0.44933900000000004,-165.89,-25.679000000000002,-110.916
32090555,519424,0,649553,1759011943,1.0,-1,-1,,,,
32090558,519424,0,649553,1761388679,1.0,-1,-1,,,,
50874630,546999,1,649553,1738200671,1.0,3,5,-23.788,-110.90700000000001,21.1925,153.287
50876956,546999,0,570284,1744719076,1.0,-1,-1,,,,
50876958,546999,0,570284,1745803533,1.0,-1,-1,,,,
50876959,546999,0,570284,1745911116,1.0,-1,-1,,,,
50876962,546999,0,570284,1746618664,1.0,-1,-1,,,,
50876964,546999,0,570284,1747112714,1.0,-1,-1,,,,
50876967,546999,0,570284,1748098355,1.0,-1,-1,,,,
50876971,546999,0,551810,1761364022,1.0,-1,-1,,,,
