NodeID,NodeType,Water and other public services,Electricity,Household furnishings,Natural gas,Miscellaneous,Gifts,Healthcare,Restaurants,Alcohol,Home maintenance,Housekeeping supplies,Money income before taxes,Personal insurance and pensions,Reading,Transportation,Education,Telephone services,Lodging away from home,Groceries,Donations,Entertainment,Apparel and services,Personal taxes,Mortgage payments,Rented dwellings,Personal care products and services,Tobacco,Household operations,Property taxes,edgeOrder,Country,F_Smoker,F_Education,F_Gas,F_Property,F_Mortgage,F_Renting,F_Rich
477769,1,-876.67,-575.95,-1812.31,,-1023.49,614.51,-2884.24,-203.74,-106.55,-953.23,-360.07,35068.4,-3586.26,-23.41,,-3079.75,-1024.98,-1713.18,-2422.19,-2880.01,,,-4697.14,-726.66,-4549.3,-12.66,,-1282.14,-479.67,39,,False,False,False,False,False,False,False
572500,1,-700.53,-641.58,-738.61,,-3911.79,1159.04,-5943.88,,-383.8,-882.79,-46.96,51196.7,-4629.67,,,-2294.22,,-4768.16,-740.52,-1343.19,,-822.21,-9152.25,,-5753.58,-292.77,,-1681.2,-840.7,2,5.0,False,False,False,False,False,False,True
500192,1,-600.77,-800.07,-1273.9,,-1416.25,,,,-187.31,-1412.45,-190.22,32952.3,-4057.38,,-8324.86,-2360.52,,-1887.48,-1204.43,-544.58,,-423.8,-5660.32,-432.09,-6299.47,-454.98,,-103.67,-226.55,82,,False,False,False,False,False,False,False
480268,1,-477.33,-351.96,-1676.06,-525.2,-2449.41,,-2102.52,,-400.9,-1304.96,-561.13,9172.64,-1192.07,,-4860.24,-73.15,-183.0,,-1351.64,-162.96,,-468.21,-652.59,-903.74,-4221.44,-300.64,,-173.27,-1162.64,21,,False,False,False,False,False,False,False
516694,1,-130.26,-503.52,-2505.69,,-934.12,396.34,,-3171.08,-535.37,,-166.46,38911.2,-2424.6,,-3546.45,-406.0,-1604.15,,-2869.86,-2386.26,,-2542.51,-10411.7,-2394.68,-5328.94,-462.89,,-913.89,,45,,False,False,False,False,False,False,False
615605,1,-248.26,,-1566.8,,-2528.76,,,-2158.66,-238.43,,-593.23,12527.4,-1494.73,,-4185.24,,-100.49,-315.42,-36.91,-766.02,,-119.89,-1143.99,-34.21,-3205.39,-380.74,,-1035.2,,10,5.0,False,False,False,False,False,False,False
480375,1,-635.24,-686.34,-126.21,,-207.26,,,-2973.16,-77.9,,-1065.67,40424.3,-6312.99,-36.32,-6340.75,,,-1346.23,-1359.39,,,,-5842.82,,-5505.81,-636.82,,-1829.81,,56,,False,False,False,False,False,False,False
476124,1,-520.36,-251.73,-1752.9,,-2629.1,950.56,,-432.5,-182.42,,-435.86,10338.6,-1308.03,-242.07,-8755.86,,-139.5,-1190.41,-1661.71,,,-525.88,726.54,,-2570.02,-483.49,,-650.4,,81,,False,False,False,False,False,False,False
638752,1,-244.71,-505.38,-1852.31,,-1810.71,,,-1314.73,-370.5,-813.05,,16792.6,-5387.54,-55.14,,-1758.1,,,-2309.44,,,-48.73,839.59,-294.01,-2183.25,-329.71,,,-985.16,8,5.0,False,False,False,False,False,False,False
545850,1,-236.22,-569.12,-1625.15,,-1729.66,69.73,,-1131.17,-269.93,,,16770.8,-2882.59,-61.76,,-1024.6,-68.92,-561.45,-963.21,-523.45,,-818.56,390.75,,-640.77,-176.84,,,,37,,False,False,False,False,False,False,False
570284,1,-227.8,,-826.56,,-2490.41,,,-2239.27,-184.7,,-342.66,5332.43,,-94.25,-282.13,-2014.79,,,-997.95,-196.64,,,-1116.98,-2780.94,,,,-870.05,,0,,False,False,False,False,False,False,False
