NodeID,NodeType,Water and other public services,Electricity,Household furnishings,Natural gas,Miscellaneous,Gifts,Healthcare,Restaurants,Alcohol,Home maintenance,Housekeeping supplies,Money income before taxes,Personal insurance and pensions,Reading,Transportation,Education,Telephone services,Lodging away from home,Groceries,Donations,Entertainment,Apparel and services,Personal taxes,Mortgage payments,Rented dwellings,Personal care products and services,Tobacco,Household operations,Property taxes,edgeOrder,Country,F_Smoker,F_Education,F_Gas,F_Property,F_Mortgage,F_Renting,F_Rich
570284,1,-455.6,,-1653.12,,-4980.82,,,-4478.54,-369.4,,-685.32,10664.86,,-188.5,-564.26,-4029.58,,,-1995.9,-393.28,,,-2233.96,-5561.88,,,,-1740.1,,148,5.0,False,False,False,False,False,False,False
643925,1,-402.86,-534.39,-1910.34,-495.8,-2034.16,804.66,,,-133.73,,-1066.88,9911.69,-700.63,-312.81,-8398.05,-1307.6,-102.76,-635.83,-1037.55,-367.83,,-288.83,320.96,,,,,-68.91,,507,5.0,False,False,False,False,False,False,False
649553,1,-475.67,-73.98,-29.14,,-819.1,337.09,,,-133.72,,-38.23,8765.93,-1016.29,-117.74,-394.51,,-498.98,-1519.24,-1447.48,,,-357.21,-1708.36,,,-36.54,,,,468,5.0,False,False,False,False,False,False,False
463126,1,-681.13,-687.31,-2823.4,,-1475.35,,,-1318.86,-185.12,,-513.89,13620.4,-689.08,-116.51,,,,-914.43,-1791.04,-250.07,,-613.05,-391.34,-610.22,,-152.48,,-801.12,,320,,False,False,False,False,False,False,False
546999,1,-665.85,-560.55,-599.23,,-511.35,,,-2315.68,-308.64,,,14682.4,-2832.03,-79.65,-3921.66,,-18.88,-193.75,-3802.45,-203.09,,-2049.9,-852.05,,-4742.28,,,,,274,,False,False,False,False,False,False,False
645393,1,-543.69,-943.16,-305.14,,-226.09,,,-3356.55,-11.95,,-527.54,39886.6,-5295.19,,-3113.11,,-609.48,,-2413.87,-2403.77,,-120.24,-6019.12,,-4388.66,-502.0,,,,498,,False,False,False,False,False,False,False
634283,1,-512.21,-721.46,-329.89,,-2911.33,1061.17,-2010.74,,-322.38,-188.58,,39387.2,-1451.99,-18.2,-5314.56,-1950.9,-1010.4,-4017.23,-3019.1,-3284.7,-1146.38,-421.28,-5598.86,-3398.58,-4668.39,-276.63,-1037.31,-365.76,-2100.58,633,,False,False,False,False,False,False,False
593266,1,-363.91,-55.64,-350.13,,-544.28,271.54,-1778.48,-674.12,-397.7,-1604.98,,14554.8,-2263.86,-24.76,,,-12.43,-525.15,-1435.56,-1455.61,-577.07,-628.47,-2287.24,-1129.59,-1966.47,-224.95,,-654.83,-494.84,7,5.0,False,False,False,False,False,False,False
502591,1,-382.45,-631.99,-669.18,,-5503.51,525.02,-4874.08,-266.52,-768.82,-1101.4,-1399.54,54333.1,-536.87,-218.21,,-1369.2,,,-4093.29,-2099.77,,-2810.98,-9247.45,-2572.76,-4144.78,-488.63,,,-814.8,902,,False,False,False,False,False,False,True
484705,1,-655.15,-595.53,-449.31,,,,,-620.75,-69.54,,-227.03,13667.9,-2667.73,-122.85,-5230.82,,,-820.88,-1878.95,-1017.55,,-672.52,-365.48,-773.87,,-315.6,,-690.82,,587,3.0,False,False,False,False,False,False,False
645199,1,-799.37,-824.46,-358.11,,-2414.57,1801.46,,-1184.22,-477.09,-3111.85,-360.16,214387.0,-4250.44,,-9964.3,-2143.2,-1709.56,-1179.8,-4359.25,-1683.8,,,-5871.07,,-8633.95,-809.02,,-2945.85,-3302.57,844,,False,False,False,False,False,False,True
513488,1,-341.56,-822.12,-1837.86,,-3158.58,566.67,-1456.29,-1381.89,-209.17,-566.82,,21741.6,-1475.35,-157.99,-3433.6,-1760.31,-647.64,-1780.94,-2458.05,-398.25,,-226.37,-3344.79,-30.31,,-327.15,,,-1044.15,471,3.0,False,False,False,False,False,False,False
574341,1,-181.66,-97.79,-783.65,,-923.07,,,,-93.29,,-174.4,1788.44,,-209.98,-1302.23,,-46.41,-876.58,-391.51,,-139.9,-125.84,54.98,-840.93,-1023.52,-183.32,-300.65,,,131,3.0,False,False,False,False,False,False,False
