Source,eType,Target,Time,Weight,SourceLocation,TargetLocation,SourceLatitude,SourceLongitude,TargetLatitude,TargetLongitude
585212,0,644830,1754351295,1.0,-1,-1,,,,
585212,0,644830,1754351980,1.0,-1,-1,,,,
585212,0,644830,1751955873,1.0,-1,-1,,,,
585212,0,644830,1751480766,1.0,-1,-1,,,,
585212,0,644830,1750398692,1.0,-1,-1,,,,
585212,0,644830,1748262272,1.0,-1,-1,,,,
585212,0,644830,1741263177,1.0,-1,-1,,,,
585212,0,644830,1742423254,1.0,-1,-1,,,,
585212,0,644830,1743179545,1.0,-1,-1,,,,
585212,0,644830,1744131274,1.0,-1,-1,,,,
585212,0,644830,1744545527,1.0,-1,-1,,,,
585212,0,644830,1744930493,1.0,-1,-1,,,,
585212,0,644830,1745994571,1.0,-1,-1,,,,
585212,0,644830,1741559857,1.0,-1,-1,,,,
644830,0,585212,1741704712,1.0,-1,-1,,,,
644830,0,585212,1740630101,1.0,-1,-1,,,,
644830,0,585212,1759019770,1.0,-1,-1,,,,
644830,0,585212,1742510816,1.0,-1,-1,,,,
644830,0,585212,1747179505,1.0,-1,-1,,,,
474933,0,585212,1749555730,1.0,-1,-1,,,,
474983,0,585212,1743469824,1.0,-1,-1,,,,
486359,0,585212,1761557438,1.0,-1,-1,,,,
482391,0,585212,1743247497,1.0,-1,-1,,,,
487665,0,585212,1739080806,1.0,-1,-1,,,,
486395,0,585212,1748997232,1.0,-1,-1,,,,
475576,0,585212,1760857790,1.0,-1,-1,,,,
485866,0,585212,1745913645,1.0,-1,-1,,,,
483005,0,585212,1743832657,1.0,-1,-1,,,,
477443,0,585212,1766105418,1.0,-1,-1,,,,
483169,0,585212,1748565305,1.0,-1,-1,,,,
487006,0,585212,1749746892,1.0,-1,-1,,,,
477859,0,585212,1762738958,1.0,-1,-1,,,,
483712,0,585212,1742368936,1.0,-1,-1,,,,
488673,0,585212,1736316199,1.0,-1,-1,,,,
476287,0,585212,1749178113,1.0,-1,-1,,,,
478741,0,585212,1754806354,1.0,-1,-1,,,,
489302,0,585212,1765771518,1.0,-1,-1,,,,
476651,0,585212,1745723265,1.0,-1,-1,,,,
476684,0,585212,1764038181,1.0,-1,-1,,,,
494977,0,585212,1750214424,1.0,-1,-1,,,,
495196,0,585212,1736072945,1.0,-1,-1,,,,
495305,0,585212,1757322952,1.0,-1,-1,,,,
502954,0,585212,1751608328,1.0,-1,-1,,,,
492199,0,585212,1762355924,1.0,-1,-1,,,,
504381,0,585212,1746783003,1.0,-1,-1,,,,
503652,0,585212,1752463454,1.0,-1,-1,,,,
496079,0,585212,1753932951,1.0,-1,-1,,,,
496244,0,585212,1748434131,1.0,-1,-1,,,,
496244,0,585212,1739509692,1.0,-1,-1,,,,
498647,0,585212,1752641185,1.0,-1,-1,,,,
458984,0,585212,1739618650,1.0,-1,-1,,,,
493213,0,585212,1745227827,1.0,-1,-1,,,,
506639,0,585212,1751674033,1.0,-1,-1,,,,
501902,0,585212,1742706508,1.0,-1,-1,,,,
501911,0,585212,1738463062,1.0,-1,-1,,,,
499686,0,585212,1738601253,1.0,-1,-1,,,,
499957,0,585212,1756432807,1.0,-1,-1,,,,
499959,0,585212,1744784306,1.0,-1,-1,,,,
462823,0,585212,1752205523,1.0,-1,-1,,,,
513116,0,585212,1747280654,1.0,-1,-1,,,,
459779,0,585212,1759891504,1.0,-1,-1,,,,
513417,0,585212,1766893232,1.0,-1,-1,,,,
509669,0,585212,1738317295,1.0,-1,-1,,,,
463542,0,585212,1737766560,1.0,-1,-1,,,,
511046,0,585212,1765520052,1.0,-1,-1,,,,
517599,0,585212,1752413443,1.0,-1,-1,,,,
525068,0,585212,1765244058,1.0,-1,-1,,,,
511483,0,585212,1746232839,1.0,-1,-1,,,,
511554,0,585212,1736866599,1.0,-1,-1,,,,
524396,0,585212,1738470045,1.0,-1,-1,,,,
521707,0,585212,1747713651,1.0,-1,-1,,,,
522078,0,585212,1761958087,1.0,-1,-1,,,,
527667,0,585212,1759730937,1.0,-1,-1,,,,
518785,0,585212,1741656108,1.0,-1,-1,,,,
526848,0,585212,1752977212,1.0,-1,-1,,,,
515622,0,585212,1752482708,1.0,-1,-1,,,,
528414,0,585212,1755668536,1.0,-1,-1,,,,
461168,0,585212,1757238494,1.0,-1,-1,,,,
463614,0,585212,1748827913,1.0,-1,-1,,,,
463640,0,585212,1748320593,1.0,-1,-1,,,,
463967,0,585212,1759718216,1.0,-1,-1,,,,
536525,0,585212,1738722275,1.0,-1,-1,,,,
531013,0,585212,1752542650,1.0,-1,-1,,,,
513019,0,585212,1746700231,1.0,-1,-1,,,,
536853,0,585212,1738578274,1.0,-1,-1,,,,
520613,0,585212,1738383638,1.0,-1,-1,,,,
520650,0,585212,1756254518,1.0,-1,-1,,,,
464542,0,585212,1759828796,1.0,-1,-1,,,,
537147,0,585212,1754200486,1.0,-1,-1,,,,
464781,0,585212,1762936220,1.0,-1,-1,,,,
465007,0,585212,1753863879,1.0,-1,-1,,,,
544028,0,585212,1767148458,1.0,-1,-1,,,,
465243,0,585212,1741367655,1.0,-1,-1,,,,
461642,0,585212,1743079806,1.0,-1,-1,,,,
543551,0,585212,1748746832,1.0,-1,-1,,,,
541073,0,585212,1747889741,1.0,-1,-1,,,,
466328,0,585212,1739545969,1.0,-1,-1,,,,
545463,0,585212,1738139067,1.0,-1,-1,,,,
546801,0,585212,1764235175,1.0,-1,-1,,,,
545313,0,585212,1750220646,1.0,-1,-1,,,,
549300,0,585212,1741515878,1.0,-1,-1,,,,
550110,0,585212,1759997415,1.0,-1,-1,,,,
553133,0,585212,1745303792,1.0,-1,-1,,,,
542234,0,585212,1737954946,1.0,-1,-1,,,,
535765,0,585212,1754556354,1.0,-1,-1,,,,
467431,0,585212,1745295141,1.0,-1,-1,,,,
556892,0,585212,1740992347,1.0,-1,-1,,,,
554488,0,585212,1765166339,1.0,-1,-1,,,,
565009,0,585212,1741763521,1.0,-1,-1,,,,
554516,0,585212,1765079789,1.0,-1,-1,,,,
566182,0,585212,1750219108,1.0,-1,-1,,,,
561830,0,585212,1738554098,1.0,-1,-1,,,,
555162,0,585212,1746411611,1.0,-1,-1,,,,
563519,0,585212,1747911041,1.0,-1,-1,,,,
566465,0,585212,1764488934,1.0,-1,-1,,,,
565687,0,585212,1756527151,1.0,-1,-1,,,,
568477,0,585212,1740302364,1.0,-1,-1,,,,
568685,0,585212,1759336228,1.0,-1,-1,,,,
570441,0,585212,1736013650,1.0,-1,-1,,,,
564288,0,585212,1744249136,1.0,-1,-1,,,,
558722,0,585212,1757439849,1.0,-1,-1,,,,
571051,0,585212,1765196890,1.0,-1,-1,,,,
469677,0,585212,1755310320,1.0,-1,-1,,,,
469766,0,585212,1757398101,1.0,-1,-1,,,,
471626,0,585212,1739787179,1.0,-1,-1,,,,
573874,0,585212,1758504272,1.0,-1,-1,,,,
558869,0,585212,1754707202,1.0,-1,-1,,,,
576389,0,585212,1737175732,1.0,-1,-1,,,,
470331,0,585212,1764841501,1.0,-1,-1,,,,
582949,0,585212,1763868966,1.0,-1,-1,,,,
574322,0,585212,1736931169,1.0,-1,-1,,,,
559257,0,585212,1738887950,1.0,-1,-1,,,,
577031,0,585212,1737356734,1.0,-1,-1,,,,
585212,1,508103,1766512989,1.0,4,5,5.62833,-161.113,20.2355,154.264
585212,1,513118,1753948137,1.0,4,3,5.62833,-161.113,-25.7182,-111.295
585212,0,559370,1754318066,1.0,-1,-1,,,,
585212,0,554005,1747889741,1.0,-1,-1,,,,
585212,0,519571,1766495938,1.0,-1,-1,,,,
585212,1,608283,1764385933,1.0,4,3,5.62833,-161.113,-25.0219,-110.58
585212,0,623679,1753864922,1.0,-1,-1,,,,
585212,1,642931,1751427904,1.0,4,5,5.62833,-161.113,21.6172,155.002
585212,0,502925,1759802909,1.0,-1,-1,,,,
585212,1,510764,1753981782,1.0,4,3,5.62833,-161.113,-25.2961,-110.946
585212,0,653341,1753854242,1.0,-1,-1,,,,
585212,0,642899,1738304308,1.0,-1,-1,,,,
585212,1,537022,1738306223,1.0,4,5,5.62833,-161.113,19.596,152.567
585212,1,504134,1738384404,1.0,4,3,5.62833,-161.113,-24.1443,-110.809
585212,1,469512,1766451902,1.0,4,3,5.62833,-161.113,-25.4667,-110.529
585212,0,588253,1738384404,1.0,-1,-1,,,,
585212,0,579629,1738287005,1.0,-1,-1,,,,
585212,0,519866,1766473098,1.0,-1,-1,,,,
585212,0,626904,1747911041,1.0,-1,-1,,,,
585212,0,543978,1735776245,1.0,-1,-1,,,,
585212,0,563069,1738317295,1.0,-1,-1,,,,
585212,0,481966,1753837953,1.0,-1,-1,,,,
585212,0,483589,1754318066,1.0,-1,-1,,,,
585212,0,588969,1751349636,1.0,-1,-1,,,,
585212,1,628132,1747648108,1.0,4,5,5.62833,-161.113,23.5858,155.071
585212,1,473847,1764755114,1.0,4,5,5.62833,-161.113,21.1992,153.94899999999998
585212,1,575360,1763884853,1.0,4,5,5.62833,-161.113,23.3861,155.75
585212,0,585823,1747735103,1.0,-1,-1,,,,
585212,1,457002,1754008343,1.0,4,3,5.62833,-161.113,-25.35,-112.53
585212,1,526627,1764720001,1.0,4,3,5.62833,-161.113,-25.1989,-110.204
585212,0,644864,1738228753,1.0,-1,-1,,,,
585212,1,536707,1738218240,1.0,4,3,5.62833,-161.113,-23.5482,-110.958
585212,1,518785,1765881021,1.0,4,3,5.62833,-161.113,-25.4539,-110.318
585212,0,528022,1754017503,1.0,-1,-1,,,,
585212,1,601617,1738222271,1.0,4,5,5.62833,-161.113,22.0087,159.715
585212,0,582096,1747792449,1.0,-1,-1,,,,
585212,1,471908,1764738777,1.0,4,5,5.62833,-161.113,18.0926,156.153
585212,1,611298,1744261442,1.0,4,3,5.62833,-161.113,-24.7185,-110.954
585212,0,635771,1763946026,1.0,-1,-1,,,,
585212,1,543595,1753681006,1.0,4,3,5.62833,-161.113,-24.9539,-111.346
585212,1,478921,1753712678,1.0,4,3,5.62833,-161.113,-25.5568,-111.21
585212,1,486938,1738659205,1.0,4,5,5.62833,-161.113,22.5079,157.401
585212,0,634592,1748312691,1.0,-1,-1,,,,
585212,0,541203,1753712678,1.0,-1,-1,,,,
585212,0,478921,1764835217,1.0,-1,-1,,,,
585212,0,600512,1753664447,1.0,-1,-1,,,,
585212,1,477236,1738684232,1.0,4,3,5.62833,-161.113,-24.8909,-110.814
585212,1,489873,1747563127,1.0,4,3,5.62833,-161.113,-24.7892,-110.075
585212,0,597177,1738595561,1.0,-1,-1,,,,
585212,0,633833,1754364934,1.0,-1,-1,,,,
585212,1,558486,1747530335,1.0,4,3,5.62833,-161.113,-24.7212,-111.213
585212,1,525299,1753783904,1.0,4,5,5.62833,-161.113,20.4099,157.53799999999998
585212,1,496804,1754275238,1.0,4,3,5.62833,-161.113,-25.1593,-111.046
585212,0,657416,1738635386,1.0,-1,-1,,,,
585212,1,644432,1753783904,1.0,4,5,5.62833,-161.113,18.2837,159.76
585212,1,590299,1754277614,1.0,4,5,5.62833,-161.113,23.0315,157.351
585212,0,600742,1748400509,1.0,-1,-1,,,,
585212,1,636325,1738670089,1.0,4,3,5.62833,-161.113,-26.1151,-110.58
585212,1,471478,1764919368,1.0,4,3,5.62833,-161.113,-25.0961,-109.74600000000001
585212,1,553954,1764919368,1.0,4,3,5.62833,-161.113,-24.4892,-110.84299999999999
585212,1,528633,1753672219,1.0,4,3,5.62833,-161.113,-25.0898,-111.296
585212,0,457590,1764924019,1.0,-1,-1,,,,
585212,1,484240,1753672219,1.0,4,3,5.62833,-161.113,-25.0586,-110.829
585212,1,654743,1753674752,1.0,4,3,5.62833,-161.113,-25.4215,-111.279
585212,0,493684,1764911728,1.0,-1,-1,,,,
585212,0,545836,1753111128,1.0,-1,-1,,,,
