Unnamed: 0,Source,eType,Target,Time,Weight,SourceLocation,TargetLocation,SourceLatitude,SourceLongitude,TargetLatitude,TargetLongitude
453729,457397,1,634303,1764927360,1.0,4,5,5.26273,-167.85299999999998,19.1053,156.866
660072,457699,0,652002,1752551686,1.0,-1,-1,,,,
660554,457699,1,599441,1751516781,1.0,2,4,-22.9565,90.5714,2.74785,-162.275
1867881,459691,1,646838,1738643048,1.0,4,3,3.2257700000000002,-166.653,-25.0219,-111.07
1868109,459691,0,634303,1736906434,1.0,-1,-1,,,,
1868323,459691,1,551810,1741219203,1.0,4,4,3.2257700000000002,-166.653,-1.6907400000000001,-162.996
2798189,461245,1,459691,1762306598,1.0,3,4,-24.2402,-110.71799999999999,3.2257700000000002,-166.653
3950525,476124,1,568093,1765507699,1.0,5,0,18.6537,150.799,28.3004,-47.4036
5065269,477769,0,457699,1757418338,1.0,-1,-1,,,,
5065551,477769,1,457397,1757068045,1.0,5,4,22.7492,154.089,5.26273,-167.85299999999998
5961369,479204,0,599441,1766071102,1.0,-1,-1,,,,
5962138,479204,0,480375,1744334168,1.0,-1,-1,,,,
6653834,480268,1,581406,1763867929,1.0,5,0,21.5557,155.289,30.7566,-39.3742
6654038,480268,1,494508,1748488149,1.0,5,2,21.5557,155.289,-22.5174,90.2463
6718531,480375,0,634283,1739430777,1.0,-1,-1,,,,
6719165,480375,1,463126,1759882577,1.0,5,3,22.7442,157.989,-25.3485,-111.419
6720545,480375,1,494508,1763770107,1.0,5,2,22.7442,157.989,-22.5174,90.2463
15410294,494508,1,558277,1743784084,1.0,2,4,-22.5174,90.2463,0.408001,-168.24200000000002
15410854,494508,0,645393,1757521670,1.0,-1,-1,,,,
15412810,494508,1,568093,1760265034,1.0,2,0,-22.5174,90.2463,28.3004,-47.4036
15414856,494508,1,645393,1750529000,1.0,2,3,-22.5174,90.2463,-25.0584,-110.84
15416756,494508,1,568093,1760260982,1.0,2,0,-22.5174,90.2463,28.3004,-47.4036
15417758,494508,0,457699,1764138052,1.0,-1,-1,,,,
15418701,494508,0,568093,1752454497,1.0,-1,-1,,,,
15420105,494508,0,634283,1737880076,1.0,-1,-1,,,,
15421511,494508,1,645393,1750427177,1.0,2,3,-22.5174,90.2463,-25.0584,-110.84
19474084,500192,0,494508,1746497896,1.0,-1,-1,,,,
19474975,500192,0,634283,1743418008,1.0,-1,-1,,,,
19475756,500192,1,634283,1761442684,1.0,5,3,17.9672,160.224,-25.1589,-111.022
30080643,463126,0,546999,1743488265,1.0,-1,-1,,,,
30433649,516694,1,634283,1741754159,1.0,5,3,20.9029,154.839,-25.1589,-111.022
30433936,516694,1,598220,1736501074,1.0,5,3,20.9029,154.839,-24.2846,-110.75399999999999
32090266,519424,0,638752,1750051925,1.0,-1,-1,,,,
32090267,519424,0,638752,1749316298,1.0,-1,-1,,,,
32090268,519424,1,638752,1750472751,1.0,4,5,0.44933900000000004,-165.89,22.6482,156.841
32090272,519424,0,615605,1750123939,1.0,-1,-1,,,,
32090296,519424,0,551810,1761382604,1.0,-1,-1,,,,
32090298,519424,0,551810,1760102255,1.0,-1,-1,,,,
32090299,519424,0,636990,1750681867,1.0,-1,-1,,,,
32090301,519424,0,636990,1750928953,1.0,-1,-1,,,,
32090302,519424,0,551810,1758808658,1.0,-1,-1,,,,
32090304,519424,1,636990,1749434950,1.0,4,0,0.44933900000000004,-165.89,41.6555,-45.6054
32090311,519424,0,636990,1750403712,1.0,-1,-1,,,,
32090315,519424,0,615605,1750285182,1.0,-1,-1,,,,
32090317,519424,0,551810,1749932461,1.0,-1,-1,,,,
32090318,519424,0,551810,1759383185,1.0,-1,-1,,,,
32090327,519424,0,551810,1761793062,1.0,-1,-1,,,,
32090328,519424,0,551810,1760387914,1.0,-1,-1,,,,
32090375,519424,0,572500,1751296678,1.0,-1,-1,,,,
32090401,519424,0,572500,1749857042,1.0,-1,-1,,,,
32090402,519424,0,572500,1750323715,1.0,-1,-1,,,,
32090413,519424,0,546999,1750289884,1.0,-1,-1,,,,
32090510,519424,1,546999,1759940465,1.0,4,3,0.44933900000000004,-165.89,-23.788,-110.90700000000001
32090519,519424,0,546999,1750580812,1.0,-1,-1,,,,
32090528,519424,0,546999,1761515367,1.0,-1,-1,,,,
32090541,519424,1,594766,1761175574,1.0,4,3,0.44933900000000004,-165.89,-25.679000000000002,-110.916
32090542,519424,1,594766,1761207446,1.0,4,3,0.44933900000000004,-165.89,-25.679000000000002,-110.916
50875826,546999,1,536715,1737858873,1.0,3,5,-23.788,-110.90700000000001,20.9961,155.52700000000002
50876971,546999,0,551810,1761364022,1.0,-1,-1,,,,
50876989,546999,1,551810,1761441759,1.0,3,4,-23.788,-110.90700000000001,-1.6907400000000001,-162.996
50876995,546999,0,551810,1760903331,1.0,-1,-1,,,,
50876996,546999,0,551810,1760823227,1.0,-1,-1,,,,
50877001,546999,0,551810,1761912237,1.0,-1,-1,,,,
50877003,546999,1,581406,1749781145,1.0,3,0,-23.788,-110.90700000000001,30.7566,-39.3742
50877004,546999,1,519424,1760465378,1.0,3,4,-23.788,-110.90700000000001,0.44933900000000004,-165.89
50877005,546999,1,572500,1749519817,1.0,3,5,-23.788,-110.90700000000001,20.9894,154.237
50877009,546999,1,572500,1749733185,1.0,3,5,-23.788,-110.90700000000001,20.9894,154.237
50877010,546999,1,594766,1749791125,1.0,3,3,-23.788,-110.90700000000001,-25.679000000000002,-110.916
50877013,546999,1,594766,1749909884,1.0,3,3,-23.788,-110.90700000000001,-25.679000000000002,-110.916
50877018,546999,0,594766,1761589360,1.0,-1,-1,,,,
50877021,546999,1,581406,1750881597,1.0,3,0,-23.788,-110.90700000000001,30.7566,-39.3742
50877024,546999,0,519424,1762047470,1.0,-1,-1,,,,
50877026,546999,0,519424,1762043153,1.0,-1,-1,,,,
50877034,546999,0,636990,1751489087,1.0,-1,-1,,,,
50877035,546999,1,636990,1750904695,1.0,3,0,-23.788,-110.90700000000001,41.6555,-45.6054
