NodeID,NodeType,Water and other public services,Electricity,Household furnishings,Natural gas,Miscellaneous,Gifts,Healthcare,Restaurants,Alcohol,Home maintenance,Housekeeping supplies,Money income before taxes,Personal insurance and pensions,Reading,Transportation,Education,Telephone services,Lodging away from home,Groceries,Donations,Entertainment,Apparel and services,Personal taxes,Mortgage payments,Rented dwellings,Personal care products and services,Tobacco,Household operations,Property taxes,edgeOrder,Country,F_Smoker,F_Education,F_Gas,F_Property,F_Mortgage,F_Renting,F_Rich
477769,1,-876.67,-575.95,-1812.31,,-1023.49,614.51,-2884.24,-203.74,-106.55,-953.23,-360.07,35068.4,-3586.26,-23.41,,-3079.75,-1024.98,-1713.18,-2422.19,-2880.01,,,-4697.14,-726.66,-4549.3,-12.66,,-1282.14,-479.67,18,5.0,False,False,False,False,False,False,False
572500,1,-700.53,-641.58,-738.61,,-3911.79,1159.04,-5943.88,,-383.8,-882.79,-46.96,51196.7,-4629.67,,,-2294.22,,-4768.16,-740.52,-1343.19,,-822.21,-9152.25,,-5753.58,-292.77,,-1681.2,-840.7,34,5.0,False,False,False,False,False,False,True
500192,1,-600.77,-800.07,-1273.9,,-1416.25,,,,-187.31,-1412.45,-190.22,32952.3,-4057.38,,-8324.86,-2360.52,,-1887.48,-1204.43,-544.58,,-423.8,-5660.32,-432.09,-6299.47,-454.98,,-103.67,-226.55,28,5.0,False,False,False,False,False,False,False
480268,1,-477.33,-351.96,-1676.06,-525.2,-2449.41,,-2102.52,,-400.9,-1304.96,-561.13,9172.64,-1192.07,,-4860.24,-73.15,-183.0,,-1351.64,-162.96,,-468.21,-652.59,-903.74,-4221.44,-300.64,,-173.27,-1162.64,20,5.0,False,False,False,False,False,False,False
516694,1,-130.26,-503.52,-2505.69,,-934.12,396.34,,-3171.08,-535.37,,-166.46,38911.2,-2424.6,,-3546.45,-406.0,-1604.15,,-2869.86,-2386.26,,-2542.51,-10411.7,-2394.68,-5328.94,-462.89,,-913.89,,17,5.0,False,False,False,False,False,False,False
615605,1,-248.26,,-1566.8,,-2528.76,,,-2158.66,-238.43,,-593.23,12527.4,-1494.73,,-4185.24,,-100.49,-315.42,-36.91,-766.02,,-119.89,-1143.99,-34.21,-3205.39,-380.74,,-1035.2,,22,5.0,False,False,False,False,False,False,False
480375,1,-635.24,-686.34,-126.21,,-207.26,,,-2973.16,-77.9,,-1065.67,40424.3,-6312.99,-36.32,-6340.75,,,-1346.23,-1359.39,,,,-5842.82,,-5505.81,-636.82,,-1829.81,,5,5.0,False,False,False,False,False,False,False
476124,1,-520.36,-251.73,-1752.9,,-2629.1,950.56,,-432.5,-182.42,,-435.86,10338.6,-1308.03,-242.07,-8755.86,,-139.5,-1190.41,-1661.71,,,-525.88,726.54,,-2570.02,-483.49,,-650.4,,38,5.0,False,False,False,False,False,False,False
638752,1,-244.71,-505.38,-1852.31,,-1810.71,,,-1314.73,-370.5,-813.05,,16792.6,-5387.54,-55.14,,-1758.1,,,-2309.44,,,-48.73,839.59,-294.01,-2183.25,-329.71,,,-985.16,16,5.0,False,False,False,False,False,False,False
545850,1,-236.22,-569.12,-1625.15,,-1729.66,69.73,,-1131.17,-269.93,,,16770.8,-2882.59,-61.76,,-1024.6,-68.92,-561.45,-963.21,-523.45,,-818.56,390.75,,-640.77,-176.84,,,,46,,False,False,False,False,False,False,False
463126,1,-681.13,-687.31,-2823.4,,-1475.35,,,-1318.86,-185.12,,-513.89,13620.4,-689.08,-116.51,,,,-914.43,-1791.04,-250.07,,-613.05,-391.34,-610.22,,-152.48,,-801.12,,31,,False,False,False,False,False,False,False
594766,1,-755.64,-720.0,-929.24,,,3626.51,-3274.32,-1197.38,-219.0,-1.96,,40989.6,-9629.26,-62.94,-6003.4,-1360.45,-224.47,-3062.33,-3250.16,-3672.06,,-610.11,-7616.24,-2124.95,-6016.19,-269.76,,-2846.18,-835.36,36,3.0,False,False,False,False,False,False,False
561312,1,-229.02,-486.68,-1158.45,,-2039.21,,-3065.84,-614.91,-47.8,-2471.69,-199.56,29980.5,-742.9,,-1448.68,,-673.95,,-5233.36,-616.2,,-675.31,-3185.18,-1104.68,-2960.76,-65.17,,,-1603.26,7,,False,False,False,False,False,False,False
546999,1,-665.85,-560.55,-599.23,,-511.35,,,-2315.68,-308.64,,,14682.4,-2832.03,-79.65,-3921.66,,-18.88,-193.75,-3802.45,-203.09,,-2049.9,-852.05,,-4742.28,,,,,12,3.0,False,False,False,False,False,False,False
645393,1,-543.69,-943.16,-305.14,,-226.09,,,-3356.55,-11.95,,-527.54,39886.6,-5295.19,,-3113.11,,-609.48,,-2413.87,-2403.77,,-120.24,-6019.12,,-4388.66,-502.0,,,,33,3.0,False,False,False,False,False,False,False
634283,1,-512.21,-721.46,-329.89,,-2911.33,1061.17,-2010.74,,-322.38,-188.58,,39387.2,-1451.99,-18.2,-5314.56,-1950.9,-1010.4,-4017.23,-3019.1,-3284.7,-1146.38,-421.28,-5598.86,-3398.58,-4668.39,-276.63,-1037.31,-365.76,-2100.58,44,,False,False,False,False,False,False,False
598220,1,-6.69,-398.32,-2647.0,,-4215.12,,-3406.7,-2117.65,-74.22,-1935.15,,45680.7,,,-4828.27,-2147.78,-712.45,-47.12,-3795.09,,,-815.23,-8829.89,,-4390.39,-22.73,,-1014.06,-1415.18,39,,False,False,False,False,False,False,False
479204,1,-67.44,-1662.66,-1145.44,,-6053.71,,,-369.41,-86.15,,-597.63,46459.6,,-162.83,,,,-2257.86,-2116.69,-3237.96,,-4039.93,6977.78,-380.81,,,,-858.65,,4,,False,False,False,False,False,False,False
655636,1,-569.05,-1843.69,-6436.83,,-7507.84,4297.7,,-1091.13,-1076.41,,,26001.2,,,-23282.1,,-723.86,,-4861.25,-264.13,,,2158.13,-4399.77,,,,,,3,0.0,False,False,False,False,False,False,False
636990,1,-1732.24,-1478.48,-3097.64,,-4939.21,,,-6877.12,-290.22,,-1815.04,29950.8,-1657.02,-884.38,-7442.07,,,-3238.15,-4943.02,-1935.71,,-3201.11,-800.26,-3622.34,,,,-427.15,,9,0.0,False,False,False,False,False,False,False
581406,1,-1398.5,,-2890.14,-4392.75,-10693.8,,-23568.0,-16649.6,-134.59,-5277.72,,21857.8,-37713.0,-240.44,,-16409.9,-9154.27,-14135.3,-14994.0,,-2892.18,,241674.0,-102287.0,-38642.5,-1854.82,,-5815.12,-9322.83,11,0.0,False,False,False,False,False,False,False
519424,1,-2.88,-60.34,-232.54,,,133.2,,-211.0,-87.4,,,3022.58,,-5.84,-1244.87,,,-820.79,-951.38,,,,-194.48,-397.29,,-6.03,,-308.73,,10,4.0,False,False,False,False,False,False,False
558277,1,-141.75,-217.85,-181.56,,-157.81,,,,-175.83,,,4654.31,-338.85,-45.94,-2743.13,-538.33,,,-488.85,-380.31,,,-616.97,-495.15,,-28.95,,-24.84,,27,4.0,False,False,False,False,False,False,False
