NodeID,NodeType,Water and other public services,Electricity,Household furnishings,Natural gas,Miscellaneous,Gifts,Healthcare,Restaurants,Alcohol,Home maintenance,Housekeeping supplies,Money income before taxes,Personal insurance and pensions,Reading,Transportation,Education,Telephone services,Lodging away from home,Groceries,Donations,Entertainment,Apparel and services,Personal taxes,Mortgage payments,Rented dwellings,Personal care products and services,Tobacco,Household operations,Property taxes,edgeOrder,Country,F_Smoker,F_Education,F_Gas,F_Property,F_Mortgage,F_Renting,F_Rich
-99,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79,,False,False,False,False,False,False,False
0,1,-300.0,-800.0,-1000.0,,-400.0,,,,-200.0,-50.0,-30.0,20000.0,-2000.0,-80.0,-2000.0,-100.0,-300.0,-800.0,-3000.0,,,,-800.0,-1000.0,-4000.0,,,,-1000.0,3,,False,False,False,False,False,False,False
2,1,-900.0,-600.0,-2000.0,,-1000.0,600.0,-3000.0,-200.0,-100.0,-1000.0,-400.0,40000.0,-4000.0,-20.0,,-3000.0,-1000.0,-2000.0,-2000.0,-3000.0,,,-5000.0,-700.0,-5000.0,-10.0,,-1000.0,-500.0,17,,False,False,False,False,False,False,False
27,1,-700.0,-600.0,-700.0,,-4000.0,1000.0,-6000.0,,-400.0,-900.0,-50.0,50000.0,-5000.0,,,-2000.0,,-5000.0,-700.0,-1000.0,,-800.0,-9000.0,,-6000.0,-300.0,,-2000.0,-800.0,14,5.0,False,False,False,False,False,False,False
29,1,-600.0,-800.0,-1000.0,,-1000.0,,,,-200.0,-1000.0,-200.0,30000.0,-4000.0,,-8000.0,-2000.0,,-2000.0,-1000.0,-500.0,,-400.0,-6000.0,-400.0,-6000.0,-500.0,,-100.0,-200.0,23,,False,False,False,False,False,False,False
31,1,-500.0,-400.0,-2000.0,-500.0,-2000.0,,-2000.0,,-400.0,-1000.0,-600.0,9000.0,-1000.0,,-5000.0,-70.0,-200.0,,-1000.0,-200.0,,-500.0,-700.0,-900.0,-4000.0,-300.0,,-200.0,-1000.0,24,,False,False,False,False,False,False,False
33,1,-100.0,-500.0,-3000.0,,-900.0,400.0,,-3000.0,-500.0,,-200.0,40000.0,-2000.0,,-4000.0,-400.0,-2000.0,,-3000.0,-2000.0,,-3000.0,-10000.0,-2000.0,-5000.0,-500.0,,-900.0,,25,,False,False,False,False,False,False,False
34,1,-200.0,,-2000.0,,-3000.0,,,-2000.0,-200.0,,-600.0,10000.0,-1000.0,,-4000.0,,-100.0,-300.0,-40.0,-800.0,,-100.0,-1000.0,-30.0,-3000.0,-400.0,,-1000.0,,4,5.0,False,False,False,False,False,False,False
35,1,-600.0,-700.0,-100.0,,-200.0,,,-3000.0,-80.0,,-1000.0,40000.0,-6000.0,-40.0,-6000.0,,,-1000.0,-1000.0,,,,-6000.0,,-6000.0,-600.0,,-2000.0,,26,,False,False,False,False,False,False,False
36,1,-500.0,-300.0,-2000.0,,-3000.0,1000.0,,-400.0,-200.0,,-400.0,10000.0,-1000.0,-200.0,-9000.0,,-100.0,-1000.0,-2000.0,,,-500.0,700.0,,-3000.0,-500.0,,-700.0,,27,,False,False,False,False,False,False,False
