Source,eType,Target,Time,Weight,SourceLocation,TargetLocation,SourceLatitude,SourceLongitude,TargetLatitude,TargetLongitude,Status_demographicsCosine,Status_travelJaccard,Status_dtwAllEdges,Status_dtwCommunication,Status_glPhone-undir5,Status_glEmail-undir5
619322,3,590442,1735785946,17.0,,,,,,,out of pairing,out of pairing,out of pairing,out of pairing,out of pairing,out of pairing
594308,0,549840,1735795256,1.0,,,,,,,supplementary,out of pairing,supplementary,supplementary,supplementary,supplementary
524153,3,629769,1735997522,4.0,,,,,,,out of pairing,out of pairing,out of pairing,out of pairing,out of pairing,out of pairing
524153,3,461577,1736139590,1923.0,,,,,,,out of pairing,out of pairing,out of pairing,out of pairing,out of pairing,out of pairing
619322,3,547205,1736324162,242.0,,,,,,,out of pairing,out of pairing,out of pairing,out of pairing,out of pairing,out of pairing
483784,0,631903,1736665125,1.0,,,,,,,supplementary,out of pairing,supplementary,supplementary,supplementary,common
619322,2,549891,1737134676,6663.0,,,,,,,out of pairing,out of pairing,out of pairing,out of pairing,out of pairing,out of pairing
524153,3,632485,1737354611,108.0,,,,,,,out of pairing,out of pairing,out of pairing,out of pairing,out of pairing,out of pairing
549840,0,619322,1737363604,1.0,,,,,,,supplementary,out of pairing,common,common,supplementary,supplementary
619322,6,657173,1737676800,8.0,5.0,1.0,22.0,156.0,-29.0,-13.0,out of pairing,out of pairing,out of pairing,out of pairing,out of pairing,out of pairing
619322,6,657173,1737676800,8.0,5.0,1.0,22.0,156.0,-29.0,-13.0,out of pairing,out of pairing,out of pairing,out of pairing,out of pairing,out of pairing
619322,6,657173,1737676800,8.0,5.0,1.0,22.0,156.0,-29.0,-13.0,out of pairing,out of pairing,out of pairing,out of pairing,out of pairing,out of pairing
619322,6,657173,1737676800,8.0,5.0,1.0,22.0,156.0,-29.0,-13.0,out of pairing,out of pairing,out of pairing,out of pairing,out of pairing,out of pairing
619322,6,657173,1737676800,8.0,5.0,1.0,22.0,156.0,-29.0,-13.0,out of pairing,out of pairing,out of pairing,out of pairing,out of pairing,out of pairing
594308,1,477657,1737742809,1.0,2.0,4.0,-24.1761,93.8902,-1.17279,-170.646,supplementary,supplementary,common,common,supplementary,common
524153,2,620947,1738805932,821.0,,,,,,,out of pairing,out of pairing,out of pairing,out of pairing,out of pairing,out of pairing
524153,3,492039,1738831946,1.0,,,,,,,out of pairing,out of pairing,out of pairing,out of pairing,out of pairing,out of pairing
594308,6,616453,1738972800,1.0,2.0,5.0,-22.0,91.0,22.0,156.0,out of pairing,out of pairing,out of pairing,out of pairing,out of pairing,out of pairing
594308,6,616453,1738972800,1.0,2.0,5.0,-22.0,91.0,22.0,156.0,out of pairing,out of pairing,out of pairing,out of pairing,out of pairing,out of pairing
594308,6,616453,1738972800,1.0,2.0,5.0,-22.0,91.0,22.0,156.0,out of pairing,out of pairing,out of pairing,out of pairing,out of pairing,out of pairing
594308,6,616453,1738972800,1.0,2.0,5.0,-22.0,91.0,22.0,156.0,out of pairing,out of pairing,out of pairing,out of pairing,out of pairing,out of pairing
594308,6,616453,1738972800,1.0,2.0,5.0,-22.0,91.0,22.0,156.0,out of pairing,out of pairing,out of pairing,out of pairing,out of pairing,out of pairing
524153,3,483999,1739091895,39.0,,,,,,,out of pairing,out of pairing,out of pairing,out of pairing,out of pairing,out of pairing
524153,3,644754,1740193858,72.0,,,,,,,out of pairing,out of pairing,out of pairing,out of pairing,out of pairing,out of pairing
524153,3,525263,1740369624,719.0,,,,,,,out of pairing,out of pairing,out of pairing,out of pairing,out of pairing,out of pairing
483784,1,619322,1740388752,1.0,0.0,3.0,32.2503,-40.4067,-24.2286,-111.12899999999999,supplementary,supplementary,common,common,supplementary,common
477657,6,616453,1740614400,0.0,0.0,5.0,33.0,-41.0,22.0,156.0,out of pairing,out of pairing,out of pairing,out of pairing,out of pairing,out of pairing
477657,6,616453,1740614400,0.0,0.0,5.0,33.0,-41.0,22.0,156.0,out of pairing,out of pairing,out of pairing,out of pairing,out of pairing,out of pairing
477657,6,616453,1740614400,0.0,0.0,5.0,33.0,-41.0,22.0,156.0,out of pairing,out of pairing,out of pairing,out of pairing,out of pairing,out of pairing
477657,6,616453,1740614400,0.0,0.0,5.0,33.0,-41.0,22.0,156.0,out of pairing,out of pairing,out of pairing,out of pairing,out of pairing,out of pairing
