templateID,candidateID,demographicsCosine,travelJaccard,dtwAllEdges,dtwCommunication,glPhone-dir4,glPhone-undir5,glEmail-dir4,glEmail-undir5,glTravel-dir4,glTravel-undir5,glCommunication-dir4,glCommunication-undir5,dtwTravel,Country,F_Smoker,F_Education,F_Property,F_Mortgage,F_Gas,F_Rich,F_Renting,templateNeighbors,candidateNeighbors,nbCommonCommNeighbors
65,544636,0.4342903549278413,,0.16969328660357955,0.1656243383273848,,,0.8919695541788997,0.9248452807646904,,,,,,False,False,False,False,False,False,False,False,29,27,0.0
34,657526,0.6310822369576211,,7.96083618010335e-163,0.9592702962392207,0.951822378928106,0.6225334970554229,0.9573667963567812,0.9270469218048554,,,0.8554671367843181,0.9148054551284699,,False,False,False,False,False,False,False,False,29,23,0.0
67,569329,,,0.501307191773228,0.2496880847194611,0.9367324823580022,0.7224841712761053,,,,,0.998082802495697,0.9638566967624052,,False,False,False,False,False,False,False,False,4,30,5.0
37,579305,0.5226281674777078,,0.4061052400161642,0.3803135600922282,0.907496044845772,0.439484026363802,0.7923173789881983,0.8872143709547952,,,0.8318109906286765,0.917313506220089,,False,False,False,False,False,False,False,False,29,31,13.0
39,628320,0.09463219780255677,,0.3617873026462108,0.29962570166335334,0.9940516220650826,0.8178268329698107,0.9337763181380124,0.9402702974467914,,,0.9702581103254126,0.9663528627517716,,False,False,False,False,False,False,False,False,27,29,0.0
40,482012,0.37325611477244525,1.0,0.37944572417095823,0.46310240811185854,0.9450265547357316,0.6397417171015684,0.9940489542845954,0.9869989133962556,0.7828897825593384,0.12383023046012444,0.9450265547357316,0.9690597173750968,0.3545395944352991,False,False,False,False,False,False,False,False,29,27,0.0
41,655963,0.9083507744069234,,0.5486776106411195,0.5538349637593264,0.8974803430277365,0.6705511902779034,0.8059684227562434,0.8991911930621956,,,0.9129775004770322,0.9560707032262228,,False,False,False,False,False,False,False,False,36,28,14.0
43,557269,0.03226341760951629,,0.23446496964264996,0.21186736546393453,0.7996722908888143,0.757852197422411,0.82281084161246,0.8495580194188467,,,0.8482365840066775,0.8784871974503545,,False,False,False,False,False,False,False,False,30,25,1.0
45,541907,0.7281655452874746,,0.5557882002707589,0.5470391853644392,0.8684406103864908,0.5980497033202479,,,,,0.8640060242197434,0.9350792978926564,,False,False,False,False,False,False,False,False,35,22,1.0
47,536906,0.5135042841763677,,0.19815906667827812,0.1934075587729799,0.7864918508632472,0.5954734474786852,0.7954931525132043,0.8505068073130769,,,0.937091348915064,0.9578948191312758,,False,False,False,False,False,False,False,False,29,38,16.0
56,464579,0.3115856760225353,,0.32359240084528673,0.2394923975386337,0.8944303879308951,0.5495595628739495,0.9563056308947576,0.9688679053994276,,,0.7152665751405389,0.8710422692835309,,False,False,False,False,False,False,False,False,29,41,3.0
57,580798,0.8024134625064437,,0.2802392396036153,0.2233278122417766,0.8921530335301712,0.5831448001221868,0.9625772400408126,0.9371711924786004,,,0.8875638009144338,0.8642473423717763,,False,False,False,False,False,False,False,False,33,29,0.0
58,483005,0.10617852264857791,,0.26585828607032597,0.25948346926720134,0.8493524092202598,0.4326430113383935,0.8957345503176151,0.8625083147600394,,,0.7224912801425838,0.9632284309609784,,False,False,False,False,False,False,False,False,26,27,9.0
27,566580,0.6259183813960163,,7.96083618010335e-163,1.0,0.8627243652666099,0.7101945530270608,0.9865447079714864,0.9435164622318126,,,0.9231256445493016,0.9150859623024126,,False,False,False,False,False,False,False,False,32,19,2.0
63,492850,0.4679223579657428,,0.39631813335655625,0.3531122757732243,0.8351272761877868,0.3854625320755008,0.9423649098745212,0.9443253505986816,,,0.660556156857208,0.8539478899970498,,False,False,False,False,False,False,False,False,30,31,2.0
