templateID,candidateID,demographicsCosine,travelJaccard,profileJaccard,dtwAllEdges,dtwCommunication,glPhone-dir4,glPhone-undir5,glEmail-dir4,glEmail-undir5,glTravel-dir4,glTravel-undir5,glCommunication-dir4,glCommunication-undir5,dtwTravel,Country,F_Smoker,F_Education,F_Property,F_Mortgage,F_Gas,F_Rich,F_Renting,templateNeighbors,candidateNeighbors,nbCommonCommNeighbors
27,585606,0.6492700695695399,,0.8571428571428572,0.2656844656620286,0.5950753844824682,0.9265267908242216,0.6895910469841147,0.8972462454967222,0.8573451689612807,,,0.9535958678889822,0.9173012732420464,,False,False,False,False,False,False,False,False,32,25,7.0
43,492850,0.18223046190678194,,0.6666666666666667,0.3223686843157241,0.19975046777556887,0.8420116864961811,0.50248361750046,0.9307795787650066,0.9443253505986816,,,0.8070719633174519,0.8294503619940872,,False,False,False,False,False,False,False,False,30,31,1.0
63,601496,0.5331032905986786,,0.8333333333333334,0.5350462688440334,0.6054614282901363,0.8335863878454868,0.4209022395585967,0.8539693469024376,0.8885963824234115,,,0.7886097359118346,0.9725437711727316,,False,False,False,False,False,False,False,False,30,28,4.0
39,482012,0.45911960379004124,1.0,0.8,0.33136674783180564,0.7339300828985966,0.8642020598882418,0.7367457694591001,0.9205106247837578,0.9817471895553648,0.6406741374757532,0.06818822627658994,0.747803825506735,0.8831103747107203,0.3465713950163449,False,False,False,False,False,False,False,False,27,27,3.0
58,655963,0.9456107094813816,,0.8571428571428572,0.18257418583505539,0.1934075587729799,0.8645699153991551,0.6340150386652769,0.7238571669517151,0.8881134644683404,,,0.8881229735906063,0.9550261227387744,,False,False,False,False,False,False,False,False,26,28,11.0
66,544636,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,1,27,0.0
41,639642,0.3307066405016754,,0.75,0.4665265896211377,0.5447550869318748,0.8220675545987418,0.5446706045714618,0.8420234134278838,0.9304438456910822,,,0.8236283655233143,0.9252379530309448,,False,False,False,False,False,False,False,False,36,28,18.0
34,584457,0.30268330210337846,,1.0,0.4247259785588175,0.47111053602854935,0.9264105567661932,0.5799418304918738,0.9062022937880262,0.8628398777690064,,,0.7921420989360899,0.9632194288391284,,False,False,False,False,False,False,False,False,29,28,10.0
56,657526,0.39893060629242405,,0.8333333333333334,0.553066318754972,0.6453362324151886,0.9060336439407412,0.6322656907371605,0.945329970284282,0.9435164622318126,,,0.8554363752934482,0.8896978854209026,,False,False,False,False,False,False,False,False,29,23,0.0
47,483005,0.22856892490700698,,1.0,0.33136674783180564,0.3736989066320037,0.8051485067621,0.6106870057489469,0.9292569748173852,0.883543596298747,,,0.9151260366877858,0.9619397313681941,,False,False,False,False,False,False,False,False,29,27,8.0
57,557269,0.7948891006877439,,0.7142857142857143,0.140028008402801,0.14981285083167667,0.8748434564195603,0.6763786118300245,0.7371332092181202,0.8386290367363576,,,0.8372964933454283,0.8717010511104507,,False,False,False,False,False,False,False,False,33,25,16.0
45,579305,0.290672372970191,,0.6666666666666667,0.09901475429766744,0.1116639061208883,0.8655229890607199,0.6277724718389249,0.9192928937558352,0.900638921920872,,,0.7746601438314766,0.8791052879814221,,False,False,False,False,False,False,False,False,35,31,12.0
0,580798,0.31786219259930587,,0.6666666666666667,,,0.9663740121350458,0.714195944689679,0.9320099896349916,0.9836596022303076,,,0.7154724103734678,0.9527738492439398,,False,False,False,False,False,False,False,False,24,29,1.0
65,546593,0.5540962791448462,,0.8333333333333334,0.146862614204502,0.1656243383273848,0.9208845243551472,0.6538710011565723,0.9502146103220964,0.9931744678095712,,,0.9815397223495343,0.9779300316501608,,False,False,False,False,False,False,False,False,29,23,5.0
67,569329,,,,0.4338609156373123,0.2496880847194611,0.9367324823580022,0.7224841712761053,,,,,0.998082802495697,0.9638566967624052,,False,False,False,False,False,False,False,False,4,30,0.0
40,588172,0.46502508809022797,,0.8333333333333334,0.22140372138502384,0.21767302573967065,0.9673138028707492,0.45237490317931733,0.9647125858670148,0.9895734391800892,,,0.9346276057414982,0.9545994779502054,,False,False,False,False,False,False,False,False,29,26,7.0
37,636721,0.3743158148686585,,0.6666666666666667,0.36782348707914075,0.39002525655158476,0.8026153706036459,0.40152038857893796,0.9613490884252802,0.925524108796984,,,0.7624073905414255,0.7868569513587438,,False,False,False,False,False,False,False,False,29,39,1.0
