templateID,candidateID,demographicsCosine,travelJaccard,dtwAllEdges,dtwCommunication,glPhone-dir4,glPhone-undir5,glEmail-dir4,glEmail-undir5,glTravel-dir4,glTravel-undir5,glCommunication-dir4,glCommunication-undir5,dtwTravel,Country,F_Smoker,F_Education,F_Property,F_Mortgage,F_Gas,F_Rich,F_Renting,templateNeighbors,candidateNeighbors,nbCommonCommNeighbors
63,582851,0.47608985075574695,,0.3067859955389482,0.3901779157898987,0.7955943714526934,0.5875043373462194,0.6482621888454875,0.7179277418365978,,,0.8375880308261202,0.7621623630838392,,False,False,False,False,False,False,False,False,30,30,29.0
43,602912,0.26500414734478894,,0.2076951008135743,0.2044285811135992,0.6960231587112319,0.5420197122685131,0.7791453227748331,0.5033380504342769,,,0.6750400970023093,0.5747056113863891,,False,False,False,False,False,False,False,False,30,28,18.0
27,527597,0.470052881489901,,0.17149858514250887,0.6009942011789684,0.9133882205389696,0.7167078635976045,0.6470026436161981,0.7633268747794921,,,0.6991754967477448,0.644273233168282,,False,False,False,False,False,False,False,False,32,30,21.0
39,534449,0.23857572946832306,,0.3985266984930429,0.35408068900796924,0.8216606229400242,0.5816700202223958,0.9052940541173535,0.3740415671634776,,,0.6935503962604755,0.7584003326346973,,False,False,False,False,False,False,False,False,27,21,6.0
41,544615,0.39145451751744864,,0.4034167795707261,0.5037175233040658,0.8106554613835075,0.5694865219415143,0.8613093376900302,0.4269596941569899,,,0.7244090204288909,0.7070595679251221,,False,False,False,False,False,False,False,False,36,28,29.0
34,477138,0.2549046928879356,,0.2504897164340598,0.48561393670526803,0.7845616394137109,0.6030108078645745,0.8442958310473178,0.449053332903554,,,0.7431509944640634,0.5620743544723771,,False,False,False,False,False,False,False,False,29,24,12.0
56,563211,0.37603591069670594,,0.20291986247835694,0.30419946323561425,0.8891469384549145,0.5043629136223882,0.8674866227160803,0.7897950655435539,,,0.7303760982966747,0.624716023900379,,False,False,False,False,False,False,False,False,29,32,11.0
47,599441,0.34142319191835396,,0.2076951008135743,0.2838961340444303,0.8287048012338113,0.5019896863853388,0.7943345469959386,0.6836840592867722,,,0.8314058747405245,0.7240254401475755,,False,False,False,False,False,False,False,False,29,29,16.0
57,515794,0.8494518255083578,,0.21693045781865616,0.2503728562847401,0.7088602318006619,0.44701372606003725,0.7860633151914721,0.3023807558801249,,,0.7617623540354879,0.6254388010684638,,False,False,False,False,False,False,False,False,33,29,10.0
0,639051,0.6418966564341873,,,,0.8438107401399918,0.5466457461462831,0.9421694290731615,0.3740415671634776,,,0.9167762103643485,0.7658660715028338,,False,False,False,False,False,False,False,False,24,25,4.0
45,505965,0.5955811622886837,,0.11715583722580124,0.4699952365589036,0.7837419279876133,0.5032803215645133,0.836730827728421,0.47779384555332793,,,0.9353921644163351,0.5458580486906227,,False,False,False,False,False,False,False,False,35,30,10.0
58,629627,0.049807932790011555,,0.7221970835242831,0.8927569240129891,0.7941165000671349,0.5554399942491788,0.7201918643116851,0.6539433006999844,,,0.7522019079185672,0.7123106539565215,,False,False,False,False,False,False,False,False,26,37,50.0
65,572413,0.20893989862013368,,0.22140372138502384,0.5677922680888606,0.9062317479148444,0.6560544175845525,0.9855832781722081,0.37277232860134335,,,0.9723368236298281,0.8127700459355192,,False,False,False,False,False,False,False,False,29,29,4.0
40,541017,0.6429402685650621,,0.11715583722580124,0.09463204468147676,0.8972666036094706,0.6788613562399125,0.9674668359535261,0.6367229093269959,,,0.8861916827014268,0.8091994205331923,,False,False,False,False,False,False,False,False,29,33,0.0
37,585212,0.4651300785279642,,0.4177437060226864,0.4160941340108137,0.8259951553182778,0.5914822334333365,0.881169226262513,0.6340738709764604,,,0.8514842302896027,0.7333623114835718,,False,False,False,False,False,False,False,False,29,31,18.0
