Unnamed: 0,Source,eType,Target,Time,Weight,SourceLocation,TargetLocation,SourceLatitude,SourceLongitude,TargetLatitude,TargetLongitude,Status
32090264,519424,1,604223,1761445589,1.0,4,3,0.44933900000000004,-165.89,-24.6075,-111.79700000000001,common
32090266,519424,0,638752,1750051925,1.0,-1,-1,,,,,common
32090267,519424,0,638752,1749316298,1.0,-1,-1,,,,,common
32090268,519424,1,638752,1750472751,1.0,4,5,0.44933900000000004,-165.89,22.6482,156.841,common
32090271,519424,1,604223,1750363414,1.0,4,3,0.44933900000000004,-165.89,-24.6075,-111.79700000000001,common
32090272,519424,0,615605,1750123939,1.0,-1,-1,,,,,common
32090277,519424,0,604223,1749987863,1.0,-1,-1,,,,,common
32090284,519424,0,604223,1749370353,1.0,-1,-1,,,,,common
32090291,519424,0,604223,1750361340,1.0,-1,-1,,,,,common
32090296,519424,0,551810,1761382604,1.0,-1,-1,,,,,common
32090298,519424,0,551810,1760102255,1.0,-1,-1,,,,,common
32090299,519424,0,636990,1750681867,1.0,-1,-1,,,,,common
32090301,519424,0,636990,1750928953,1.0,-1,-1,,,,,common
32090302,519424,0,551810,1758808658,1.0,-1,-1,,,,,common
32090304,519424,1,636990,1749434950,1.0,4,0,0.44933900000000004,-165.89,41.6555,-45.6054,common
32090311,519424,0,636990,1750403712,1.0,-1,-1,,,,,common
32090315,519424,0,615605,1750285182,1.0,-1,-1,,,,,common
32090317,519424,0,551810,1749932461,1.0,-1,-1,,,,,common
32090318,519424,0,551810,1759383185,1.0,-1,-1,,,,,common
32090327,519424,0,551810,1761793062,1.0,-1,-1,,,,,common
32090328,519424,0,551810,1760387914,1.0,-1,-1,,,,,common
32090375,519424,0,572500,1751296678,1.0,-1,-1,,,,,common
32090401,519424,0,572500,1749857042,1.0,-1,-1,,,,,common
32090402,519424,0,572500,1750323715,1.0,-1,-1,,,,,common
32090413,519424,0,546999,1750289884,1.0,-1,-1,,,,,common
32090462,519424,0,595104,1742002835,1.0,-1,-1,,,,,supplementary
32090510,519424,1,546999,1759940465,1.0,4,3,0.44933900000000004,-165.89,-23.788,-110.90700000000001,common
32090519,519424,0,546999,1750580812,1.0,-1,-1,,,,,common
32090528,519424,0,546999,1761515367,1.0,-1,-1,,,,,common
32090541,519424,1,594766,1761175574,1.0,4,3,0.44933900000000004,-165.89,-25.679000000000002,-110.916,common
32090542,519424,1,594766,1761207446,1.0,4,3,0.44933900000000004,-165.89,-25.679000000000002,-110.916,common
32090555,519424,0,649553,1759011943,1.0,-1,-1,,,,,common
32090558,519424,0,649553,1761388679,1.0,-1,-1,,,,,common
50874630,546999,1,649553,1738200671,1.0,3,5,-23.788,-110.90700000000001,21.1925,153.287,supplementary
50876956,546999,0,570284,1744719076,1.0,-1,-1,,,,,common
50876958,546999,0,570284,1745803533,1.0,-1,-1,,,,,common
50876959,546999,0,570284,1745911116,1.0,-1,-1,,,,,common
50876962,546999,0,570284,1746618664,1.0,-1,-1,,,,,common
50876964,546999,0,570284,1747112714,1.0,-1,-1,,,,,common
50876967,546999,0,570284,1748098355,1.0,-1,-1,,,,,common
50876971,546999,0,551810,1761364022,1.0,-1,-1,,,,,common
50876976,546999,0,570284,1744070739,1.0,-1,-1,,,,,common
50876982,546999,0,604223,1761353540,1.0,-1,-1,,,,,common
50876984,546999,0,570284,1739850042,1.0,-1,-1,,,,,common
50876985,546999,0,570284,1740969719,1.0,-1,-1,,,,,common
50876986,546999,0,570284,1740994952,1.0,-1,-1,,,,,common
50876989,546999,1,551810,1761441759,1.0,3,4,-23.788,-110.90700000000001,-1.6907400000000001,-162.996,common
50876991,546999,0,570284,1741281515,1.0,-1,-1,,,,,common
50876992,546999,0,570284,1741906619,1.0,-1,-1,,,,,common
50876994,546999,0,570284,1742095660,1.0,-1,-1,,,,,common
50876995,546999,0,551810,1760903331,1.0,-1,-1,,,,,common
50876996,546999,0,551810,1760823227,1.0,-1,-1,,,,,common
50876997,546999,0,570284,1743216757,1.0,-1,-1,,,,,common
50876999,546999,0,570284,1749233340,1.0,-1,-1,,,,,common
50877001,546999,0,551810,1761912237,1.0,-1,-1,,,,,common
50877002,546999,0,570284,1750010911,1.0,-1,-1,,,,,common
50877003,546999,1,581406,1749781145,1.0,3,0,-23.788,-110.90700000000001,30.7566,-39.3742,common
50877004,546999,1,519424,1760465378,1.0,3,4,-23.788,-110.90700000000001,0.44933900000000004,-165.89,common
50877005,546999,1,572500,1749519817,1.0,3,5,-23.788,-110.90700000000001,20.9894,154.237,common
50877009,546999,1,572500,1749733185,1.0,3,5,-23.788,-110.90700000000001,20.9894,154.237,common
50877010,546999,1,594766,1749791125,1.0,3,3,-23.788,-110.90700000000001,-25.679000000000002,-110.916,common
50877012,546999,0,649553,1760946107,1.0,-1,-1,,,,,common
50877013,546999,1,594766,1749909884,1.0,3,3,-23.788,-110.90700000000001,-25.679000000000002,-110.916,common
50877018,546999,0,594766,1761589360,1.0,-1,-1,,,,,common
50877021,546999,1,581406,1750881597,1.0,3,0,-23.788,-110.90700000000001,30.7566,-39.3742,common
50877024,546999,0,519424,1762047470,1.0,-1,-1,,,,,common
50877026,546999,0,519424,1762043153,1.0,-1,-1,,,,,common
50877027,546999,0,570284,1750099008,1.0,-1,-1,,,,,common
50877028,546999,0,595104,1745032238,1.0,-1,-1,,,,,common
50877029,546999,0,595104,1745899965,1.0,-1,-1,,,,,common
50877030,546999,0,595104,1746625789,1.0,-1,-1,,,,,common
50877032,546999,0,595104,1747229446,1.0,-1,-1,,,,,common
50877033,546999,0,595104,1747976236,1.0,-1,-1,,,,,common
50877034,546999,0,636990,1751489087,1.0,-1,-1,,,,,common
50877035,546999,1,636990,1750904695,1.0,3,0,-23.788,-110.90700000000001,41.6555,-45.6054,common
50877036,546999,0,551810,1760761624,1.0,-1,-1,,,,,common
50877038,546999,0,649553,1761932901,1.0,-1,-1,,,,,common
50877039,546999,0,519424,1750362222,1.0,-1,-1,,,,,common
50877043,546999,0,519424,1761579643,1.0,-1,-1,,,,,common
50877044,546999,0,519424,1761037422,1.0,-1,-1,,,,,common
50877046,546999,0,519424,1762029289,1.0,-1,-1,,,,,common
53710667,551810,1,649553,1761507524,1.0,4,5,-1.6907400000000001,-162.996,21.1925,153.287,common
53710670,551810,1,649553,1761424441,1.0,4,5,-1.6907400000000001,-162.996,21.1925,153.287,common
53710672,551810,0,649553,1761052731,1.0,-1,-1,,,,,common
53710673,551810,0,649553,1759131123,1.0,-1,-1,,,,,common
53710677,551810,0,649553,1759162280,1.0,-1,-1,,,,,common
53710678,551810,0,649553,1759838351,1.0,-1,-1,,,,,common
53710679,551810,0,649553,1760580944,1.0,-1,-1,,,,,common
53710681,551810,0,649553,1761110727,1.0,-1,-1,,,,,common
53710683,551810,0,649553,1759991887,1.0,-1,-1,,,,,common
53710686,551810,0,649553,1759768813,1.0,-1,-1,,,,,common
53710695,551810,1,649553,1760659759,1.0,4,5,-1.6907400000000001,-162.996,21.1925,153.287,common
53710704,551810,0,649553,1762085513,1.0,-1,-1,,,,,common
53710711,551810,1,649553,1761841579,1.0,4,5,-1.6907400000000001,-162.996,21.1925,153.287,common
53710718,551810,1,649553,1750457322,1.0,4,5,-1.6907400000000001,-162.996,21.1925,153.287,common
53710721,551810,0,594766,1761087549,1.0,-1,-1,,,,,common
53710731,551810,1,594766,1750476893,1.0,4,3,-1.6907400000000001,-162.996,-25.679000000000002,-110.916,common
53710732,551810,0,594766,1751493492,1.0,-1,-1,,,,,common
53710733,551810,0,594766,1749755170,1.0,-1,-1,,,,,common
53710736,551810,1,636990,1750191782,1.0,4,0,-1.6907400000000001,-162.996,41.6555,-45.6054,common
53710741,551810,1,636990,1750303899,1.0,4,0,-1.6907400000000001,-162.996,41.6555,-45.6054,common
53710742,551810,0,594766,1760526246,1.0,-1,-1,,,,,common
53710745,551810,0,594766,1761801561,1.0,-1,-1,,,,,common
53710748,551810,1,572500,1749329699,1.0,4,5,-1.6907400000000001,-162.996,20.9894,154.237,common
53710752,551810,1,572500,1750476974,1.0,4,5,-1.6907400000000001,-162.996,20.9894,154.237,common
53710762,551810,1,604223,1761036958,1.0,4,3,-1.6907400000000001,-162.996,-24.6075,-111.79700000000001,common
53710765,551810,0,604223,1761308204,1.0,-1,-1,,,,,common
53710766,551810,0,604223,1761251693,1.0,-1,-1,,,,,common
53710767,551810,1,604223,1750897959,1.0,4,3,-1.6907400000000001,-162.996,-24.6075,-111.79700000000001,common
53710769,551810,0,594766,1761526193,1.0,-1,-1,,,,,common
53710849,551810,1,638752,1750720345,1.0,4,5,-1.6907400000000001,-162.996,22.6482,156.841,common
53710850,551810,1,638752,1749924745,1.0,4,5,-1.6907400000000001,-162.996,22.6482,156.841,common
53710853,551810,1,638752,1749382441,1.0,4,5,-1.6907400000000001,-162.996,22.6482,156.841,common
53710894,551810,0,519424,1751102630,1.0,-1,-1,,,,,common
53710902,551810,0,546999,1760170621,1.0,-1,-1,,,,,common
53710904,551810,0,546999,1760845016,1.0,-1,-1,,,,,common
53710905,551810,1,546999,1751239155,1.0,4,3,-1.6907400000000001,-162.996,-23.788,-110.90700000000001,common
53710909,551810,0,519424,1750143184,1.0,-1,-1,,,,,common
53710916,551810,1,519424,1750865460,1.0,4,4,-1.6907400000000001,-162.996,0.44933900000000004,-165.89,common
53710928,551810,1,519424,1749881217,1.0,4,4,-1.6907400000000001,-162.996,0.44933900000000004,-165.89,common
53710965,551810,1,546999,1749871034,1.0,4,3,-1.6907400000000001,-162.996,-23.788,-110.90700000000001,common
53710967,551810,0,546999,1750702608,1.0,-1,-1,,,,,common
53710970,551810,0,615605,1749366401,1.0,-1,-1,,,,,common
53710995,551810,0,519424,1759995080,1.0,-1,-1,,,,,common
53710998,551810,1,519424,1761060090,1.0,4,4,-1.6907400000000001,-162.996,0.44933900000000004,-165.89,common
53711002,551810,1,519424,1760071974,1.0,4,4,-1.6907400000000001,-162.996,0.44933900000000004,-165.89,common
53711007,551810,1,519424,1761751769,1.0,4,4,-1.6907400000000001,-162.996,0.44933900000000004,-165.89,common
53711018,551810,0,519424,1761036254,1.0,-1,-1,,,,,common
53711020,551810,1,636990,1750404392,1.0,4,0,-1.6907400000000001,-162.996,41.6555,-45.6054,common
53711022,551810,1,636990,1750127953,1.0,4,0,-1.6907400000000001,-162.996,41.6555,-45.6054,common
53711023,551810,0,636990,1749780049,1.0,-1,-1,,,,,common
53711029,551810,1,519424,1760493401,1.0,4,4,-1.6907400000000001,-162.996,0.44933900000000004,-165.89,common
53711031,551810,0,519424,1759014056,1.0,-1,-1,,,,,common
53711033,551810,1,519424,1759782859,1.0,4,4,-1.6907400000000001,-162.996,0.44933900000000004,-165.89,common
53711038,551810,1,519424,1759764322,1.0,4,4,-1.6907400000000001,-162.996,0.44933900000000004,-165.89,common
53711046,551810,0,519424,1761137016,1.0,-1,-1,,,,,common
53711047,551810,0,519424,1762011469,1.0,-1,-1,,,,,common
53711060,551810,0,519424,1761567505,1.0,-1,-1,,,,,common
53711075,551810,0,519424,1759349374,1.0,-1,-1,,,,,common
53711076,551810,0,519424,1759626738,1.0,-1,-1,,,,,common
53711079,551810,0,519424,1760412689,1.0,-1,-1,,,,,common
53711110,551810,1,595104,1755068336,1.0,4,4,-1.6907400000000001,-162.996,-1.54455,-166.428,supplementary
67854717,570284,0,595104,1744212133,1.0,-1,-1,,,,,common
67854718,570284,0,595104,1745003316,1.0,-1,-1,,,,,common
67854721,570284,0,595104,1745228265,1.0,-1,-1,,,,,common
67854722,570284,0,595104,1745634001,1.0,-1,-1,,,,,common
67854729,570284,0,595104,1751639066,1.0,-1,-1,,,,,common
67854731,570284,0,595104,1753785402,1.0,-1,-1,,,,,common
