NodeID,NodeType,Water and other public services,Electricity,Household furnishings,Natural gas,Miscellaneous,Gifts,Healthcare,Restaurants,Alcohol,Home maintenance,Housekeeping supplies,Money income before taxes,Personal insurance and pensions,Reading,Transportation,Education,Telephone services,Lodging away from home,Groceries,Donations,Entertainment,Apparel and services,Personal taxes,Mortgage payments,Rented dwellings,Personal care products and services,Tobacco,Household operations,Property taxes,edgeOrder,Country,F_Smoker,F_Education,F_Gas,F_Property,F_Mortgage,F_Renting,F_Rich
570284,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,,False,False,False,False,False,False,False
643925,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,,False,False,False,False,False,False,False
649553,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,,False,False,False,False,False,False,False
608827,1,-2378.6,-1689.16,-4951.15,,-2935.06,,,,-456.71,,-2111.52,143858.0,-15088.4,,-14153.4,,-385.87,-8444.03,-5362.15,-1006.36,,-6192.98,-19480.8,-12677.5,-21699.3,-116.31,,-6393.29,,36,,False,False,False,False,False,False,True
589639,1,-1177.72,-4315.51,-657.25,,-11748.4,1840.81,-12000.0,,-1570.79,-9368.15,,647030.0,-35981.5,-922.08,-22255.4,-59222.4,,-17326.8,-6259.14,-6812.65,,-7992.34,-256705.0,-20611.7,-25079.4,,,-10936.9,-4393.27,12,0,False,False,False,False,False,False,True
530528,1,-709.74,-803.27,-2025.14,,-1056.28,1273.93,-10454.0,-566.66,-626.25,-42.39,,22471.7,-3256.84,-572.39,,-5401.11,-1055.24,,-323.75,,,-1263.37,-3136.11,,-8433.51,-1258.56,,-1860.01,-2654.76,47,,False,False,False,False,False,False,False
635706,1,-2812.2,-1827.44,-1568.36,,-5502.61,23825.6,,,-707.75,,-179.25,619963.0,-19509.3,-419.71,-12879.0,,-6537.83,-8451.08,-1346.38,,,,-288399.0,,-32074.0,,,-7422.71,,35,,False,False,False,False,False,False,True
490041,1,-944.51,,-546.79,,-1124.28,,-3164.62,-5981.19,-190.9,-3898.0,-2016.75,9945.27,-3425.74,-755.36,-989.2,,,-3472.76,-2351.23,,,-541.23,-902.7,-309.48,-3877.78,-1277.89,,-2715.88,-1088.3,5,0,False,False,False,False,False,False,False
554431,1,-991.31,-1592.45,-2609.97,,-11532.2,2533.31,,-2100.87,-477.21,,-575.81,25798.3,-4869.66,-109.57,-8023.05,,-507.66,-2292.69,-1022.79,-864.5,,,1916.13,-4588.96,-8432.04,,,-3608.19,,37,,False,False,False,False,False,False,False
599956,1,-1200.8,-1734.92,-3394.47,,-5658.37,4527.75,-11521.2,-2612.14,-1287.62,-2378.96,-3138.12,87411.8,-14199.5,,-33836.2,-573.69,,-4308.22,-5424.06,,,,-6039.55,-4397.31,-15128.2,,,-4236.9,-801.56,13,0,False,False,False,False,False,False,True
566342,1,-928.67,-1503.23,-350.38,,,,,-695.41,-239.28,,-729.47,11191.5,,-409.84,-4154.76,-1673.49,,-1392.07,-2976.7,,,-2325.96,-201.24,-1246.31,-2836.39,-730.67,,-3830.14,,39,,False,False,False,False,False,False,False
548513,1,-2555.54,,-1129.58,,,1688.22,-7279.05,,-706.38,-3302.11,,8328.29,-3345.4,-60.39,,,-479.26,-1499.5,-6392.63,-4817.44,,,1057.83,-989.89,-5458.02,,,,-1464.26,30,,False,False,False,False,False,False,False
599057,1,-1671.82,-607.33,-5174.1,,-7222.34,1282.76,-1584.35,-1013.67,-50.84,-937.43,,26766.3,-4545.13,,,-121.9,,-2235.21,-151.14,-1123.79,,-2716.78,2317.44,-3217.81,-11194.7,-147.47,,,-2032.53,24,,False,False,False,False,False,False,False
568093,1,-1351.29,-462.8,-1626.36,,-1230.07,,,,-423.63,,,10786.0,,,,-5152.55,-276.35,-2057.6,-6929.54,-3047.35,,-4470.49,-2087.31,-1770.99,,-55.9,,,,3,,False,False,False,False,False,False,False
464459,1,-1702.6,-1601.52,-1690.82,,,453.32,,-1784.67,-534.04,,-1845.19,51492.7,-1167.72,-763.63,-6587.65,-3184.21,,,-2991.42,-4296.71,,-3261.55,3442.81,-5937.72,,-699.42,,,,0,0,False,False,False,False,False,False,True
635665,1,-1448.59,,-4052.61,,-5382.42,1388.78,,,-39.34,,-377.01,30019.9,-2739.08,,-34041.9,-3826.62,-698.17,,-4378.48,,,,-5472.26,-461.46,,-896.83,-197.19,-1576.24,,6,0,False,False,False,False,False,False,False
474199,1,-199.86,,-826.39,,,556.31,,,-619.57,,-101.17,7508.97,-195.8,-134.02,-3106.61,-134.4,-739.24,-1383.94,-900.45,-314.86,,,500.51,,,,,-229.05,,43,,False,False,False,False,False,False,False
475130,1,-464.59,-750.34,-1083.35,,-1402.55,1288.3,,-873.6,-296.73,,-227.9,10098.5,,-32.31,,-48.06,-606.11,-2085.7,-760.17,-923.51,,-691.64,-598.5,,,-136.86,,-233.2,,48,,False,False,False,False,False,False,False
596193,1,-498.56,-215.51,-512.2,,-3200.76,,,-80.41,-25.88,,,7055.78,,-5.5,-740.74,-5715.91,-114.24,,-3494.46,,,,-1413.95,-5373.2,,-505.63,,-762.62,,9,,False,False,False,False,False,False,False
576641,1,-385.35,-607.0,-349.8,,-1617.76,,,-496.73,-57.7,,-276.28,2326.88,-101.93,-62.22,-367.71,,-480.73,-564.31,-1277.17,-878.76,,,-532.92,,,,,,,20,,False,False,False,False,False,False,False
550361,1,-235.5,,-333.88,,-1870.79,,,-94.05,-114.69,-1078.75,-489.54,12586.9,-2912.89,-152.14,-3691.55,,-382.99,-2474.91,-1135.49,-820.04,,,-94.43,-626.0,-2681.86,,,-201.32,-1378.84,2,2,False,False,False,False,False,False,False
463777,1,-436.8,-208.84,-522.83,,-1690.67,226.36,-1823.5,-1561.97,-193.02,-763.66,-474.25,7392.6,-851.71,,-2870.09,-4864.11,-316.86,-427.55,-1409.48,-693.07,,-1471.99,168.12,-4575.82,-583.52,-73.59,,,-205.66,31,,False,False,False,False,False,False,False
654763,1,-613.32,-511.93,-81.33,-566.76,-1933.55,999.02,,,-399.58,,-1069.28,22959.0,-1941.65,,-568.9,,-169.61,-2217.83,-3795.32,-1643.03,,,-319.93,-1537.07,-4412.63,-431.16,,-50.58,,33,,False,False,False,False,False,False,False
529922,1,-388.16,-512.78,-1715.33,,-3689.19,,-1056.71,-690.54,-233.11,-561.9,,47106.5,-889.15,-119.01,-9216.46,-920.72,-481.91,-3011.76,-2032.07,-2047.56,,-1647.79,-7263.71,-1790.27,-6042.72,-390.31,,-220.36,-1072.89,21,,False,False,False,False,False,False,False
599063,1,-414.66,,-2708.54,,-3459.56,75.86,-2061.29,-1346.45,-54.66,-1307.49,,19798.9,-960.36,,,-554.65,,-1526.12,-2085.13,,-1092.76,-1443.58,-3118.43,-746.42,-2267.03,-507.66,,-581.21,-2836.08,27,,False,False,False,False,False,False,False
622296,1,-667.4,-554.54,-347.59,,-2446.33,,-3331.5,,-170.12,-942.41,,36123.4,-2796.56,-164.15,-965.86,-750.85,,-2927.57,-567.63,-2215.35,,-1981.13,-4579.47,-19.92,-5301.05,-229.1,,,-623.17,44,,False,False,False,False,False,False,False
512397,1,-993.54,-711.5,-4962.24,,,,-4200.84,-3252.44,-343.32,-881.23,-732.21,32518.9,-4880.51,-22.79,-11068.6,-739.49,,,-2840.81,-6308.05,-1254.79,-321.43,-4388.86,-2487.82,-6106.78,-913.17,-1119.13,-1180.66,-1984.33,4,,False,False,False,False,False,False,False
493044,1,-224.81,-658.91,-1858.42,,-2554.09,,-822.4,-75.77,-377.6,-1472.52,-1094.45,18919.4,-1684.01,,-7441.46,,-130.79,,-1684.21,-1412.76,,,-774.25,-1167.94,-5087.5,-45.08,,-125.63,-1702.58,8,,False,False,False,False,False,False,False
592414,1,-1265.29,-1107.68,-725.17,,-2522.31,,,-4573.48,-576.89,,-720.36,49976.2,-5063.82,-243.81,,-1441.09,-483.1,-5302.38,-3137.79,-2658.66,,-3429.01,5471.99,,,,,-1882.53,,29,,False,False,False,False,False,False,False
575704,1,-2391.69,,-3479.68,,-2660.68,596.72,,-1911.13,-749.74,,-1557.66,31934.9,,,,,-693.04,-9784.56,-4273.66,-4613.15,-196.03,,-2255.94,,,-849.79,,,,45,,False,False,False,False,False,False,False
654981,1,-1805.45,-655.88,-732.43,,-586.73,304.79,,-2434.08,-558.05,,-244.2,10753.8,-1787.56,-499.85,,-5306.54,-386.83,,-1269.47,-986.55,,,-2151.07,,,-620.87,,,,22,,False,False,False,False,False,False,False
575859,1,-766.88,,-440.95,,-183.4,1267.83,,-976.38,-132.1,,-2274.47,3304.77,-477.89,,-9070.65,,-779.37,-1168.58,-366.2,-2474.64,,,-1543.6,-1296.75,,,,,,50,,False,False,False,False,False,False,False
640464,1,-2318.11,-1136.42,-1259.0,,,1163.1,,-899.28,-493.08,,-20.21,6292.61,-3406.61,-426.58,,-7905.27,-129.52,-162.29,-5720.56,-1315.33,,-4161.23,1089.87,-3780.69,,-422.5,,,,15,0,False,False,False,False,False,False,False
