templateID,candidateID,demographicsCosine,travelJaccard,profileJaccard,dtwAllEdges,dtwCommunication,glPhone-dir4,glPhone-undir5,glEmail-dir4,glEmail-undir5,glTravel-dir4,glTravel-undir5,glCommunication-dir4,glCommunication-undir5,dtwTravel,Country,F_Smoker,F_Education,F_Property,F_Mortgage,F_Gas,F_Rich,F_Renting,templateNeighbors,candidateNeighbors,nbCommonCommNeighbors
67,607386,,,,0.2504897164340598,0.21186736546393453,0.8863342767549212,0.5054232585462765,,,,,0.7650908386268369,0.5813429043668744,,False,False,False,False,False,False,False,False,4,25,27.0
37,542649,,,,0.276533159377486,0.38357811404726905,0.9010242133425136,0.49559206731010724,,,,,0.8385131901904169,0.5802202475268081,,False,False,False,False,False,False,False,False,29,4,2.0
39,493652,0.36239376961226394,,0.0,0.26196841599779197,0.2394923975386337,0.6942034113082671,0.6100157401311775,0.8992689197709614,0.4203745587631593,,,0.8173714817535485,0.7069382114675932,,False,False,False,False,False,False,False,False,27,26,46.0
40,541619,0.3589344542795204,,0.8571428571428572,0.17149858514250887,0.1656243383273848,0.9628733325210714,0.6889250755580161,0.9222558643268411,0.6615596168451031,,,0.9582324990862052,0.8918597710853882,,False,False,False,False,False,False,False,False,29,31,7.0
41,538892,0.11622614983465235,1.0,1.0,0.39605901719066977,0.48158093764314097,0.8851550432243873,0.7479132394127255,0.7819258475489983,0.3606375370945247,0.7431583703623271,0.46834904244875836,0.8346232622431178,0.7944288722390305,2.3603767833730263e-162,False,False,False,False,False,False,False,False,36,29,45.0
43,500813,0.2647335856446543,,1.0,0.280056016805602,0.21186736546393453,0.6989953927513639,0.549071968711583,0.6948679450714722,0.3646984484999023,,,0.8341403184548332,0.6303368251752373,,False,False,False,False,False,False,False,False,30,29,12.0
45,516236,0.1903545883921075,,0.7142857142857143,0.18257418583505539,0.2058980693513018,0.8227660662422546,0.7376948140972196,0.7483413049594803,0.42035929926470494,,,0.8379575462786328,0.7822158256676798,,False,False,False,False,False,False,False,False,35,27,2.0
47,544074,0.35883358068697474,,1.0,0.15965649400644924,0.1934075587729799,0.7881900402773484,0.5273578511247611,0.8007481440170515,0.42528009983183024,,,0.8587933601848989,0.5270590429421558,,False,False,False,False,False,False,False,False,29,25,31.0
56,614761,0.4404753311534577,,1.0,0.16568337391590282,0.2342281855216576,0.7119227434400167,0.5569802757525343,0.8617529674350825,0.3612315203816936,,,0.8726395286787443,0.6333075130067175,,False,False,False,False,False,False,False,False,29,24,27.0
57,572391,0.8244958025719434,,0.7142857142857143,0.1252448582170299,0.08649448975573376,0.8507307364569172,0.6117386563310854,0.6896835545829124,0.5883069371373413,,,0.6931687360503299,0.533144534448299,,False,False,False,False,False,False,False,False,33,27,19.0
58,493094,0.9325091387712999,,0.8,0.146862614204502,0.1656243383273848,0.9256718003151672,0.7302474991415834,,,,,0.9599771232466284,0.6704605184167608,,False,False,False,False,False,False,False,False,26,23,23.0
27,521318,,,,0.146862614204502,0.5401579153970482,0.8547712285752301,0.4586245320691219,,,,,0.9170121306144172,0.5133987169728996,,False,False,False,False,False,False,False,False,32,3,3.0
63,536003,,,,0.30996520993903337,0.3531122757732243,0.8914374402397199,0.4937190490555804,,,,,0.8100155204195102,0.5426440791920379,,False,False,False,False,False,False,False,False,30,3,18.0
