templateID,candidateID,demographicsCosine,travelJaccard,profileJaccard,dtwAllEdges,dtwCommunication,glPhone-dir4,glPhone-undir5,glEmail-dir4,glEmail-undir5,glTravel-dir4,glTravel-undir5,glCommunication-dir4,glCommunication-undir5,dtwTravel,Country,F_Smoker,F_Education,F_Property,F_Mortgage,F_Gas,F_Rich,F_Renting,templateNeighbors,candidateNeighbors,nbCommonCommNeighbors
27,629627,0.5814051033370029,,1.0,0.9691314081560405,0.9140084634847181,0.8105500277742942,0.46869705266989276,0.6733990067289852,0.6199022825538254,,,0.683560635911212,0.5372932461095983,,False,False,False,False,False,False,False,False,32,37,35.0
43,534034,0.03330893078215502,,0.75,0.21693045781865616,0.21186736546393453,0.8304940125242409,0.5063404292214506,0.6390977443609023,0.7926219591969502,,,0.6873556231002667,0.5660280549401769,,False,False,False,False,False,False,False,False,30,29,7.0
63,544615,0.5216998540291549,,0.8,0.2835351069316551,0.31583322092743266,0.7500492696260217,0.3821941184398429,0.8357487156053478,0.4736833711292968,,,0.6958641462582362,0.6299011544551008,,False,False,False,False,False,False,False,False,30,28,11.0
39,639051,0.7962093602462854,,0.8333333333333334,0.2693492521018819,0.2546328832592281,0.8356213650830188,0.45105610551383646,0.8977136247864755,0.3535724685906876,,,0.8002342978439464,0.7149676941402723,,False,False,False,False,False,False,False,False,27,25,22.0
58,505965,0.03609472197350605,,0.6,0.146862614204502,0.4353460514793413,0.7866672594294484,0.4358587256834123,0.7302917287770341,0.484064802128472,,,0.7976779815234123,0.6832421833698219,,False,False,False,False,False,False,False,False,26,30,14.0
66,477138,,,,,,0.8797911325179967,0.7753876757168376,,,,,0.8051787320119256,0.9157931722975144,,False,False,False,False,False,False,False,False,1,24,5.0
41,599441,0.05168692373116124,0.8571428571428572,1.0,0.4428074427700477,0.5261254413634405,0.8766504824725487,0.48060502600751887,0.7766323492372703,0.8282413596234873,0.5124646729700573,0.1985402532027808,0.7376295098493968,0.6826434811708249,0.0,False,False,False,False,False,False,False,False,36,29,31.0
34,534449,0.4942200254382807,,0.75,0.33136674783180564,0.393209189025593,0.8420570356655079,0.43567437969469064,0.7664171350104865,0.4471367390839152,,,0.6320091758804619,0.5186976119248761,,False,False,False,False,False,False,False,False,29,21,26.0
56,602912,0.676902703593099,,1.0,0.17712297710801905,0.2342281855216576,0.8142183331030971,0.4067053640092184,0.8257124729886048,0.4940750152029151,,,0.6933952909953209,0.5207161871016459,,False,False,False,False,False,False,False,False,29,28,11.0
47,572413,0.3939920586166243,,0.8333333333333334,0.3131121455425748,0.5043452089348731,0.7227478135015167,0.3840751614317316,0.8391569285532907,0.488438864489712,,,0.8334796318896305,0.6231282241273376,,False,False,False,False,False,False,False,False,29,29,37.0
57,541017,0.5982643513124447,,0.2857142857142857,0.1328422328310143,0.14981285083167667,0.8198866129513921,0.4225013135936302,0.827867406835226,0.5499681133553116,,,0.7878664552538617,0.6562443148242759,,False,False,False,False,False,False,False,False,33,33,11.0
45,582851,0.4814856952475868,,0.5714285714285714,0.09901475429766744,0.13212251550074416,0.8459690358505583,0.41194933600281936,0.6654954277868871,0.6470249611684279,,,0.9493319196876836,0.5115372845299191,,False,False,False,False,False,False,False,False,35,30,7.0
0,563211,0.3930599375703753,,0.5,,,0.9378690203092797,0.5000558631541007,0.8647366670543511,0.9163323868153898,,,0.8695249426494873,0.6654963005509877,,False,False,False,False,False,False,False,False,24,32,11.0
65,585212,0.1608866298094795,,0.8333333333333334,0.18786728732554484,0.14981285083167667,0.8410824207282606,0.4438904143144109,0.8800484891127505,0.709305161897694,,,0.9533611452137286,0.7856968346788976,,False,False,False,False,False,False,False,False,29,31,16.0
67,515794,,,,0.25819888974716115,0.2546328832592281,0.8758859001037973,0.6700951401853595,,,,,0.8737084597547411,0.8896596670871961,,False,False,False,False,False,False,False,False,4,29,5.0
40,527597,0.2841708396492696,,0.875,0.1252448582170299,0.09987523388778444,0.9737289505174552,0.5119234022891725,0.8840825862092055,0.9452758720694702,,,0.7624183351143787,0.8546189715201318,,False,False,False,False,False,False,False,False,29,30,17.0
37,644830,,,,0.2504897164340598,0.3386933966843846,0.9512009295939174,0.7582887454142662,,,,,0.9072817662284433,0.7610303918823582,,False,False,False,False,False,False,False,False,29,4,0.0
