templateID,candidateID,demographicsCosine,travelJaccard,profileJaccard,dtwAllEdges,dtwCommunication,glPhone-dir4,glPhone-undir5,glEmail-dir4,glEmail-undir5,glTravel-dir4,glTravel-undir5,glCommunication-dir4,glCommunication-undir5,dtwTravel,Country,F_Smoker,F_Education,F_Property,F_Mortgage,F_Gas,F_Rich,F_Renting,templateNeighbors,candidateNeighbors,nbCommonCommNeighbors
63,599441,0.37970991669296,,0.5,0.293725228409004,0.3459779590229351,0.8152299278699662,0.43968213276971685,0.7082251112880986,0.7838654577167073,,,0.6911507553446878,0.6864913894958069,,False,False,False,False,False,False,False,False,30,29,27.0
58,534034,0.019133243782918585,,0.33333333333333337,0.16568337391590282,0.1934075587729799,0.8342710865252038,0.4786481928471683,0.7488431220024192,0.7926219591969502,,,0.8305607377160665,0.6768664982859829,,False,False,False,False,False,False,False,False,26,29,14.0
43,541017,0.561754881514488,,0.8571428571428572,0.21236298927940875,0.24464336096619885,0.7489169045107172,0.5063404292214506,0.76185516389608,0.7168419647253153,,,0.7709190314350358,0.5660280549401769,,False,False,False,False,False,False,False,False,30,33,17.0
39,602912,0.2262045401974792,,1.0,0.2504897164340598,0.2288429096710954,0.8012497047934256,0.4700108321960049,0.8826626866656171,0.5292153761616296,,,0.8361181776366843,0.7587877905478522,,False,False,False,False,False,False,False,False,27,28,63.0
27,563211,0.6514478184773396,,0.4,0.19802950859533489,0.5605483599480056,0.8854783778050913,0.4453421224329093,0.7177262604675931,0.7465742193378473,,,0.7042732793954256,0.5389777139718359,,False,False,False,False,False,False,False,False,32,32,16.0
66,544615,,,,,,0.9234616202824096,0.7691766450096592,,,,,0.8756251329589156,0.8991392655692622,,False,False,False,False,False,False,False,False,1,28,0.0
41,534449,0.13832588899956966,,1.0,0.43835700375960457,0.5378445946368242,0.843084934779029,0.4443282930642248,0.8475831381224957,0.3970964994759707,,,0.6506419302627441,0.6289605569285766,,False,False,False,False,False,False,False,False,36,21,24.0
34,505965,0.23760941601870705,,0.6666666666666667,0.140028008402801,0.15791661046371633,0.7977162931884381,0.4382103264641463,0.7882568422943381,0.44899548135387535,,,0.7164963199989473,0.5651372996963802,,False,False,False,False,False,False,False,False,29,30,17.0
56,515794,0.8075020345444024,,0.8333333333333334,0.2076951008135743,0.2288429096710954,0.8155639368396906,0.4144251357691154,0.7254213052376821,0.5352493402009479,,,0.6601729229959655,0.5179977789986028,,False,False,False,False,False,False,False,False,29,29,18.0
47,639051,0.7870471655946794,,0.5,0.24253562503633294,0.27804088398485977,0.7456888769898593,0.3685981362979712,0.8032446932323696,0.4311380549940147,,,0.7696804923681745,0.6515136403591509,,False,False,False,False,False,False,False,False,29,25,41.0
57,572413,0.8609014990920294,,0.625,0.18786728732554484,0.4892867219323977,0.8274975796684495,0.3711934386501135,0.7899835918271422,0.4224136213657968,,,0.8087218060269202,0.5862090698472467,,False,False,False,False,False,False,False,False,33,29,6.0
45,629627,0.8191168071486132,,1.0,0.7289530499419068,0.8251048448455085,0.7566569782748133,0.4732709171920723,0.7971094906447383,0.5859630687063421,,,0.8658661780517501,0.4994291685500397,,False,False,False,False,False,False,False,False,35,37,39.0
0,488928,0.21693330351660306,,0.33333333333333337,,,0.8631851055198362,0.7165917328773885,,,,,0.9372931733632582,0.784024453449506,,False,False,False,False,False,False,False,False,24,26,5.0
65,644830,,,,0.06262242910851495,0.13212251550074416,0.9294059031387896,0.6322731921579152,,,,,0.9537486951598966,0.8678318257188326,,False,False,False,False,False,False,False,False,29,4,3.0
67,477138,,,,0.19802950859533489,0.19975046777556887,0.8419682721352841,0.6935643784457811,,,,,0.8988596941665818,0.921795073550881,,False,False,False,False,False,False,False,False,4,24,45.0
40,585212,0.1589710561598292,0.8333333333333334,0.8,0.19301528944823082,0.14981285083167667,0.8907785817642626,0.4438904143144109,0.8800484891127505,0.709305161897694,0.5738887314887162,0.19307580922727324,0.9402549507086564,0.7856968346788976,0.21821789023599242,False,False,False,False,False,False,False,False,29,31,6.0
37,527597,0.43235160199690237,,0.4285714285714286,0.29704426289300234,0.40260993913745996,0.8135743838226289,0.43253968653147756,0.6279673340978378,0.6771724669672528,,,0.7616717975005199,0.7036080266497778,,False,False,False,False,False,False,False,False,29,30,27.0
