Unnamed: 0,Source,eType,Target,Time,Weight,SourceLocation,TargetLocation,SourceLatitude,SourceLongitude,TargetLatitude,TargetLongitude,Status
550,456759,1,599441,1753153239,1.0,4,4,3.05136,-165.88,2.74785,-162.275,supplementary
660072,457699,0,652002,1752551686,1.0,-1,-1,,,,,supplementary
660554,457699,1,599441,1751516781,1.0,2,4,-22.9565,90.5714,2.74785,-162.275,supplementary
2341501,460534,1,655636,1737793469,1.0,4,0,4.98674,-156.624,36.4502,-37.8151,supplementary
3950525,476124,1,568093,1765507699,1.0,5,0,18.6537,150.799,28.3004,-47.4036,supplementary
5065269,477769,0,457699,1757418338,1.0,-1,-1,,,,,supplementary
5961369,479204,0,599441,1766071102,1.0,-1,-1,,,,,supplementary
5962138,479204,0,480375,1744334168,1.0,-1,-1,,,,,supplementary
6653834,480268,1,581406,1763867929,1.0,5,0,21.5557,155.289,30.7566,-39.3742,supplementary
6654038,480268,1,494508,1748488149,1.0,5,2,21.5557,155.289,-22.5174,90.2463,supplementary
6718531,480375,0,634283,1739430777,1.0,-1,-1,,,,,supplementary
6719165,480375,1,463126,1759882577,1.0,5,3,22.7442,157.989,-25.3485,-111.419,supplementary
6720545,480375,1,494508,1763770107,1.0,5,2,22.7442,157.989,-22.5174,90.2463,supplementary
15410294,494508,1,558277,1743784084,1.0,2,4,-22.5174,90.2463,0.408001,-168.24200000000002,supplementary
15410854,494508,0,645393,1757521670,1.0,-1,-1,,,,,supplementary
15412810,494508,1,568093,1760265034,1.0,2,0,-22.5174,90.2463,28.3004,-47.4036,supplementary
15414856,494508,1,645393,1750529000,1.0,2,3,-22.5174,90.2463,-25.0584,-110.84,supplementary
15415386,494508,0,583251,1746500449,1.0,-1,-1,,,,,supplementary
15415619,494508,0,648781,1753752437,1.0,-1,-1,,,,,supplementary
15416756,494508,1,568093,1760260982,1.0,2,0,-22.5174,90.2463,28.3004,-47.4036,supplementary
15417758,494508,0,457699,1764138052,1.0,-1,-1,,,,,supplementary
15418701,494508,0,568093,1752454497,1.0,-1,-1,,,,,supplementary
