Unnamed: 0,Source,eType,Target,Time,Weight,SourceLocation,TargetLocation,SourceLatitude,SourceLongitude,TargetLatitude,TargetLongitude,Status
6718822,480375,0,473913,1748582349,1.0,-1,-1,,,,,supplementary
77498005,584811,0,522398,1762744568,1.0,-1,-1,,,,,supplementary
111565430,638752,0,473913,1751588197,1.0,-1,-1,,,,,supplementary
122645756,655636,0,522398,1740026212,1.0,-1,-1,,,,,supplementary
84127216,595736,0,551810,1736005395,1.0,-1,-1,,,,,supplementary
84129244,595736,1,594281,1755263541,1.0,4,4,2.9769,-163.836,-0.133248,-173.53099999999998,supplementary
112075874,473913,1,594766,1753849853,1.0,5,3,21.868000000000002,158.836,-25.679000000000002,-110.916,supplementary
112077321,473913,1,598220,1755081020,1.0,5,3,21.868000000000002,158.836,-24.2846,-110.75399999999999,supplementary
112077331,473913,1,592525,1765850359,1.0,5,4,21.868000000000002,158.836,-1.83778,-170.232,supplementary
4546929,476973,0,546999,1742785349,1.0,-1,-1,,,,,supplementary
5962138,479204,0,480375,1744334168,1.0,-1,-1,,,,,supplementary
6653834,480268,1,581406,1763867929,1.0,5,0,21.5557,155.289,30.7566,-39.3742,supplementary
6718531,480375,0,634283,1739430777,1.0,-1,-1,,,,,supplementary
6719165,480375,1,463126,1759882577,1.0,5,3,22.7442,157.989,-25.3485,-111.419,supplementary
13350261,491352,1,482973,1763185729,1.0,4,4,7.4648699999999995,-169.09900000000002,-2.2890099999999998,-165.239,supplementary
13350559,491352,0,593266,1736318426,1.0,-1,-1,,,,,supplementary
19474464,500192,0,619270,1751332334,1.0,-1,-1,,,,,supplementary
19474975,500192,0,634283,1743418008,1.0,-1,-1,,,,,supplementary
19475756,500192,1,634283,1761442684,1.0,5,3,17.9672,160.224,-25.1589,-111.022,supplementary
30080643,463126,0,546999,1743488265,1.0,-1,-1,,,,,supplementary
30080892,463126,0,594281,1766291066,1.0,-1,-1,,,,,supplementary
30433649,516694,1,634283,1741754159,1.0,5,3,20.9029,154.839,-25.1589,-111.022,supplementary
30433936,516694,1,598220,1736501074,1.0,5,3,20.9029,154.839,-24.2846,-110.75399999999999,supplementary
50875826,546999,1,536715,1737858873,1.0,3,5,-23.788,-110.90700000000001,20.9961,155.52700000000002,supplementary
50876971,546999,0,551810,1761364022,1.0,-1,-1,,,,,common
50876989,546999,1,551810,1761441759,1.0,3,4,-23.788,-110.90700000000001,-1.6907400000000001,-162.996,common
50876995,546999,0,551810,1760903331,1.0,-1,-1,,,,,common
50876996,546999,0,551810,1760823227,1.0,-1,-1,,,,,common
50877001,546999,0,551810,1761912237,1.0,-1,-1,,,,,common
50877003,546999,1,581406,1749781145,1.0,3,0,-23.788,-110.90700000000001,30.7566,-39.3742,common
50877005,546999,1,572500,1749519817,1.0,3,5,-23.788,-110.90700000000001,20.9894,154.237,common
50877009,546999,1,572500,1749733185,1.0,3,5,-23.788,-110.90700000000001,20.9894,154.237,common
50877010,546999,1,594766,1749791125,1.0,3,3,-23.788,-110.90700000000001,-25.679000000000002,-110.916,common
50877013,546999,1,594766,1749909884,1.0,3,3,-23.788,-110.90700000000001,-25.679000000000002,-110.916,common
50877018,546999,0,594766,1761589360,1.0,-1,-1,,,,,common
50877021,546999,1,581406,1750881597,1.0,3,0,-23.788,-110.90700000000001,30.7566,-39.3742,common
50877034,546999,0,636990,1751489087,1.0,-1,-1,,,,,common
50877035,546999,1,636990,1750904695,1.0,3,0,-23.788,-110.90700000000001,41.6555,-45.6054,common
50877036,546999,0,551810,1760761624,1.0,-1,-1,,,,,common
50877344,546999,0,594281,1761888542,1.0,-1,-1,,,,,common
53710721,551810,0,594766,1761087549,1.0,-1,-1,,,,,common
53710731,551810,1,594766,1750476893,1.0,4,3,-1.6907400000000001,-162.996,-25.679000000000002,-110.916,common
53710732,551810,0,594766,1751493492,1.0,-1,-1,,,,,common
53710733,551810,0,594766,1749755170,1.0,-1,-1,,,,,common
53710736,551810,1,636990,1750191782,1.0,4,0,-1.6907400000000001,-162.996,41.6555,-45.6054,common
53710741,551810,1,636990,1750303899,1.0,4,0,-1.6907400000000001,-162.996,41.6555,-45.6054,common
53710742,551810,0,594766,1760526246,1.0,-1,-1,,,,,common
53710745,551810,0,594766,1761801561,1.0,-1,-1,,,,,common
53710748,551810,1,572500,1749329699,1.0,4,5,-1.6907400000000001,-162.996,20.9894,154.237,common
