templateID,candidateID,demographicsCosine,travelJaccard,dtwAllEdges,dtwCommunication,dtwTravel,Country,F_Smoker,F_Education,F_Property,F_Mortgage,F_Gas,F_Rich,F_Renting,templateNeighbors,candidateNeighbors,nbCommonCommNeighbors
0,584811,0.005432471273096817,,0.1006071805054548,0.16984155512168936,,False,False,False,False,False,False,False,False,24,26,5.0
2,477769,0.008651359011825399,,,,,False,False,False,False,False,False,False,False,25,28,0.0
27,572500,0.005843577003471601,,0.039293817800568995,0.2080125735844609,,False,False,False,False,False,False,False,False,32,30,58.0
29,500192,0.011413114619138465,,,,,False,False,False,False,False,False,False,False,22,29,0.0
31,480268,0.009647992054903298,,,,,False,False,False,False,False,False,False,False,24,26,0.0
33,516694,0.013754030717396781,,,,,False,False,False,False,False,False,False,False,22,24,0.0
34,615605,0.008175099055173218,,0.04987546680538165,0.2640294272643458,,False,False,False,False,False,False,False,False,29,27,56.0
35,480375,0.005863549197003104,,,,,False,False,False,False,False,False,False,False,18,24,0.0
36,476124,0.013053683886333822,,,,,False,False,False,False,False,False,False,False,21,22,0.0
37,638752,0.0070591452725125015,,0.043440950075025145,0.22996655275195,,False,False,False,False,False,False,False,False,29,28,64.0
38,545850,0.004765886497379579,,,,,False,False,False,False,False,False,False,False,20,21,0.0
39,634303,0.09063167184418147,0.4,0.1348515383006632,0.5801193511153215,0.17859152928948988,False,False,False,False,False,False,False,False,27,30,0.0
40,612378,0.09646960056021558,0.4,0.10478351413485065,0.4439767838698152,0.2856807806674729,False,False,False,False,False,False,False,False,29,25,0.0
41,536893,0.06430305938772257,0.4,0.187305111159102,,0.17859152928948988,False,False,False,False,False,False,False,False,36,26,0.0
42,463126,0.007108917560838979,,,,,False,False,False,False,False,False,False,False,19,21,0.0
43,482973,0.004898692159442997,,0.11113970010196403,0.5883484054145521,,False,False,False,False,False,False,False,False,30,20,3.0
44,536715,0.033036501901836324,,,,,False,False,False,False,False,False,False,False,18,30,0.0
45,594766,0.0020671537332574985,,0.037046566700654676,0.19611613513818404,,False,False,False,False,False,False,False,False,35,35,35.0
46,561312,0.0071288973766605035,,,,,False,False,False,False,False,False,False,False,22,26,0.0
47,546999,0.0034350034549285313,,0.14731542909464543,0.35013733569294475,,False,False,False,False,False,False,False,False,29,138,40.0
48,645393,0.008352659665084694,,,,,False,False,False,False,False,False,False,False,18,109,0.0
49,634283,0.00447770058819319,,,,,False,False,False,False,False,False,False,False,27,36,0.0
52,598220,0.007146102139756028,,,,,False,False,False,False,False,False,False,False,21,25,0.0
53,479204,0.007210444711724218,,,,,False,False,False,False,False,False,False,False,17,25,0.0
54,600329,0.03665940740498819,,,,,False,False,False,False,False,False,False,False,20,25,0.0
55,655636,0.0033853544852480155,,,,,False,False,False,False,False,False,False,False,15,17,0.0
56,636990,0.007027547156283398,,0.08786364769756354,0.41312598190270844,,False,False,False,False,False,False,False,False,29,29,43.0
57,581406,0.006068022660761119,,0.03465388998752952,0.1834498464263357,,False,False,False,False,False,False,False,False,33,33,24.0
58,519424,8.38321000404818e-05,,0.10800837415034759,0.19611613513818404,,False,False,False,False,False,False,False,False,26,29,62.0
59,558277,0.0005359238806785793,,,,,False,False,False,False,False,False,False,False,17,19,0.0
60,652002,0.0007576454672191812,,,,,False,False,False,False,False,False,False,False,18,26,0.0
61,508951,0.002819692421555886,,,,,False,False,False,False,False,False,False,False,21,23,0.0
62,597992,0.0045323678180809734,,,,,False,False,False,False,False,False,False,False,20,19,0.0
63,551810,0.011669106183397226,,0.05709259363285998,0.30223526241349447,,False,False,False,False,False,False,False,False,30,30,67.0
64,497185,0.016038374398403887,,,,,False,False,False,False,False,False,False,False,20,23,0.0
65,593266,0.006572221389187394,,0.06349461635760184,0.25943726083138546,,False,False,False,False,False,False,False,False,29,29,5.0
66,456759,,,,,,False,False,False,False,False,False,False,False,1,30,0.0
67,456760,,,0.09121659186987564,0.35355339059327373,,False,False,False,False,False,False,False,False,4,22,0.0
73,568093,,0.0,0.2521140671019256,,0.40632891786511255,False,False,False,False,False,False,False,False,4,183,0.0
74,547661,,0.25,0.08283864147564397,,0.2705008904002297,False,False,False,False,False,False,False,False,4,24,0.0
75,559042,,0.25,0.16227707170568628,,0.23921384688252828,False,False,False,False,False,False,False,False,4,95,0.0
77,494508,,0.0,0.10958522214549732,,0.2873179332146128,False,False,False,False,False,False,False,False,5,34,0.0
78,599441,,0.0,0.1345331162782462,,0.41995264630754847,False,False,False,False,False,False,False,False,5,29,0.0
79,629627,,0.0,0.17958989518119423,,0.5915286902337079,False,False,False,False,False,False,False,False,5,23,0.0
80,494556,,0.25,0.05633636695073399,,0.14035602011577275,False,False,False,False,False,False,False,False,5,28,0.0
82,457397,,0.0,0.16489884192001994,,0.0,False,False,False,False,False,False,False,False,2,26,0.0
83,457699,,0.0,0.12111168033996957,,0.3571830585789797,False,False,False,False,False,False,False,False,2,27,0.0
84,459691,,0.0,0.16306802881291552,,0.0,False,False,False,False,False,False,False,False,2,28,0.0
85,566386,,0.19999999999999996,0.09399539707597515,,0.2598888490945259,False,False,False,False,False,False,False,False,5,29,0.0
86,461245,,0.25,0.0403705601133232,,0.13697345026974844,False,False,False,False,False,False,False,False,5,25,0.0
87,646838,,0.25,0.0333933239547768,,0.10158222946627814,False,False,False,False,False,False,False,False,5,22,0.0
