templateID,candidateID,demographicsCosine,travelJaccard,dtwAllEdges,dtwCommunication,dtwTravel,Country,F_Smoker,F_Education,F_Property,F_Mortgage,F_Gas,F_Rich,F_Renting,templateNeighbors,candidateNeighbors,nbCommonCommNeighbors
0,584811,0.005432471273096817,,0.1006071805054548,0.17066403719657225,,False,False,False,False,False,False,False,False,24,26,5.0
2,619270,0.05852595820932893,,,,,False,False,False,False,False,False,False,False,25,27,0.0
27,572500,0.005843577003471601,,0.044417273103376745,0.23627366065316416,,False,False,False,False,False,False,False,False,32,29,53.0
29,500192,0.011413114619138465,,,,,False,False,False,False,False,False,False,False,22,28,0.0
31,480268,0.009647992054903298,,,,,False,False,False,False,False,False,False,False,24,25,0.0
33,516694,0.013754030717396781,,,,,False,False,False,False,False,False,False,False,22,24,0.0
34,615605,0.008175099055173218,,0.05320408081276511,0.2830142882941438,,False,False,False,False,False,False,False,False,29,27,52.0
35,480375,0.005863549197003104,,,,,False,False,False,False,False,False,False,False,18,22,0.0
36,556718,0.04447355620918558,,,,,False,False,False,False,False,False,False,False,21,26,0.0
37,638752,0.0070591452725125015,,0.046308208375818345,0.24633231954107326,,False,False,False,False,False,False,False,False,29,27,60.0
38,585395,0.021037445760833995,,,,,False,False,False,False,False,False,False,False,20,27,0.0
39,456810,0.048703890195244404,0.5,0.11493395061488919,,0.31976773935069797,False,False,False,False,False,False,False,False,27,24,0.0
40,647945,0.18975882885575412,0.5,0.0949035862573617,0.2830142882941438,0.3000937939682132,False,False,False,False,False,False,False,False,29,27,2.0
41,536893,0.06430305938772257,0.4,0.1672232942063871,0.9902436691399973,0.17859152928948988,False,False,False,False,False,False,False,False,36,27,2.0
42,463126,0.007108917560838979,,,,,False,False,False,False,False,False,False,False,19,21,0.0
43,482973,0.004898692159442997,,0.09027131670313226,0.48019009180932143,,False,False,False,False,False,False,False,False,30,21,3.0
44,536715,0.033036501901836324,,,,,False,False,False,False,False,False,False,False,18,30,0.0
45,594766,0.0020671537332574985,,0.0333933239547768,0.1776327617818639,,False,False,False,False,False,False,False,False,35,33,30.0
46,561312,0.0071288973766605035,,,,,False,False,False,False,False,False,False,False,22,24,0.0
47,546999,0.0034350034549285313,,0.12004459627660707,0.4062616689884985,,False,False,False,False,False,False,False,False,29,78,29.0
48,645393,0.008352659665084694,,,,,False,False,False,False,False,False,False,False,18,48,0.0
49,634283,0.00447770058819319,,,,,False,False,False,False,False,False,False,False,27,35,0.0
52,598220,0.007146102139756028,,,,,False,False,False,False,False,False,False,False,21,25,0.0
53,479204,0.007210444711724218,,,,,False,False,False,False,False,False,False,False,17,23,0.0
54,600329,0.03665940740498819,,,,,False,False,False,False,False,False,False,False,20,24,0.0
55,655636,0.0033853544852480155,,,,,False,False,False,False,False,False,False,False,15,18,0.0
56,636990,0.007027547156283398,,0.06868617297937094,0.274304062030809,,False,False,False,False,False,False,False,False,29,27,37.0
57,581406,0.006068022660761119,,0.03587018396644946,0.19080819424304413,,False,False,False,False,False,False,False,False,33,32,23.0
58,461719,0.0009954647762998037,,0.0949035862573617,0.504831030080401,,False,False,False,False,False,False,False,False,26,22,0.0
59,476973,0.002196920167219396,,,,,False,False,False,False,False,False,False,False,17,22,0.0
60,614986,0.0010518624241792063,,,,,False,False,False,False,False,False,False,False,18,28,0.0
61,508913,0.0028255250026515966,,,,,False,False,False,False,False,False,False,False,21,20,0.0
62,491352,0.006117090461745411,,,,,False,False,False,False,False,False,False,False,20,23,0.0
63,551810,0.011669106183397226,,0.07913150116038732,0.42093285215033693,,False,False,False,False,False,False,False,False,30,28,41.0
64,497185,0.016038374398403887,,,,,False,False,False,False,False,False,False,False,20,23,0.0
65,593266,0.006572221389187394,,0.059303442288658664,0.22032632461961585,,False,False,False,False,False,False,False,False,29,30,5.0
73,568093,,0.0,0.17911162563651215,,0.40632891786511255,False,False,False,False,False,False,False,False,4,86,0.0
74,559042,,0.25,0.12698923271520368,,0.25807775491068063,False,False,False,False,False,False,False,False,4,56,0.0
75,463038,,0.33333333333333337,0.013097939266856333,,0.05304958917673055,False,False,False,False,False,False,False,False,4,26,0.0
77,494508,,0.0,0.09121659186987564,,0.2873179332146128,False,False,False,False,False,False,False,False,5,28,0.0
78,599441,,0.0,0.12833307154304643,,0.41995264630754847,False,False,False,False,False,False,False,False,5,28,0.0
79,629627,,0.0,0.1798285529545057,,0.5915286902337079,False,False,False,False,False,False,False,False,5,24,0.0
80,494556,,0.25,0.055569850050982014,,0.14035602011577275,False,False,False,False,False,False,False,False,5,27,0.0
82,457699,,0.0,0.12181787688106055,,0.3571830585789797,False,False,False,False,False,False,False,False,2,25,0.0
83,459811,,0.0,0.04141932073782199,,0.0,False,False,False,False,False,False,False,False,2,25,0.0
84,460534,,0.0,0.049008001209349464,,0.0,False,False,False,False,False,False,False,False,2,25,0.0
85,566386,,0.19999999999999996,0.07913150116038732,,0.2598888490945259,False,False,False,False,False,False,False,False,5,26,0.0
86,463884,,0.4,0.08538811717168802,,0.2807120402315455,False,False,False,False,False,False,False,False,5,25,0.0
87,534237,,0.4,0.07053456158585984,,0.18376916754950665,False,False,False,False,False,False,False,False,5,30,0.0
